Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
1909,At the Altar,American,D. W. Griffith,Marion Leonard,drama,https://en.wikipedia.org/wiki/At_the_Altar,"A rejected admirer sets up a trap to kill his sweetheart and her fiance before they married and then commit suicide, but before he passes away, he leaves a confession. Fortunately the confession is found on time and a police man runs to the church to save the couple."
1909,A Drunkard's Reformation,American,D. W. Griffith,Arthur V. Johnson,drama,https://en.wikipedia.org/wiki/A_Drunkard%27s_Reformation,"John Wharton, the husband of a true and trusting wife and father of an eight-year-old girl, through the association of rakish companions becomes addicted to the drink habit, and while the demon rum has not fastened its tentacles firmly, there is no question that given free rein the inevitable would culminate in time. Arriving home one afternoon in a wine besotted condition, he is indeed a terrifying spectacle to his little family. Later, after he has slept off the effects to some extent, while at supper, the little girl shows him two tickets for the theater, begging him to take her. After some persuasion he consents to go. The play is a dramatization of Émile Zola's L'Assommoir, which shows how short a journey it is from peace and happiness to woe and despair by the road of rum. At the final curtain of the play, he is a changed man, going homeward with a firm determination that he will drink no more, which he promises his wife upon his return. Two years later we find the little family seated, happy and peaceful, at the fireside and we know that the promise has been kept."
1909,The Lure of the Gown,American,D.W. Griffith,Marion Leonard,unknown,https://en.wikipedia.org/wiki/The_Lure_of_the_Gown,"The story as told by Moving Picture World reads:
"
1910,An Arcadian Maid,American,D.W. Griffith,"Mary Pickford, Mack Sennett",drama,https://en.wikipedia.org/wiki/An_Arcadian_Maid,Mary Pickford plays Priscilla an unemployed maid who finds work at a farm. There she meets a no-good peddler who starts flirting with her and makes her fall in love with him. He runs up a gambling bill and asks her to help him pay his debts or he won't be able to marry her.[1]
1910,A Christmas Carol,American,J. Searle Dawley,"Marc McDermott, Charles Stanton Ogle",unknown,https://en.wikipedia.org/wiki/A_Christmas_Carol_(1910_film),"The day before Christmas, Ebenezer Scrooge refuses to contribute to the Charity Relief Committee, and then rudely rejects his nephew Fred when he visits Scrooge in his office. When Scrooge returns home, he sees the ghost of his former business partner Jacob Marley, who warns him of the punishment he will suffer in the next life if he does not change his ways. That night, Scrooge is visited by three more spirits, who show him his past, present, and future him."
1910,Frankenstein,American,J. Searle Dawley,"Augustus Phillips, Charles Stanton Ogle, Mary Fuller",unknown,https://en.wikipedia.org/wiki/Frankenstein_(1910_film),"Described as ""a liberal adaptation of Mrs. Shelley's famous story"", the plot description in the Edison Kinetogram was:[3]"
1910,The House with Closed Shutters,American,D.W. Griffith,Henry B. Walthall,drama,https://en.wikipedia.org/wiki/The_House_with_Closed_Shutters,"During the American Civil War a young soldier loses his nerve in battle and runs away to his home to hide; his sister puts on his uniform, takes her brother's place in the battle, and is killed. Their mother, not wanting the shameful truth to become known, closes all the shutters (hence the film's title) and keeps her son's presence a secret for many years, until two boyhood chums stumble upon the truth."
1910,A Lad from Old Ireland,American,Sidney Olcott,"Sidney Olcott, Gene Gauntier, Thomas O'Connor",drama,https://en.wikipedia.org/wiki/A_Lad_from_Old_Ireland,"An Irish boy (Olcott) emigrates to America to escape the desperate poverty of Ireland. After finding work in construction, he finds success in politics. He returns to Ireland after receiving a letter from his sweetheart (Gauntier) just as her destitute family is being forced off their land.[3]"
1910,Pocahontas,American,Unknown,"Anna Rosemond, George Barnes, Frank H. Crane",short fantasy,https://en.wikipedia.org/wiki/Pocahontas_(1910_film),"Though the film is presumed lost, a synopsis survives in The Moving Picture World from October 15, 1910. It states: ""Captain John Smith comes to America as the head of a band of English colonists and settles in Jamestown, Virginia. While at the head of the colony Smith makes a trip of exploration into the interior and is captured there by King Powhatan, the acknowledged head of all of the red men in Virginia. Powhatan orders his prisoner's execution. Just as the fatal club is about to descend, Pocahontas, the favorite daughter of the King, throws herself before her father. She begs so fervently that the white man's life be spared that Powhatan relents and orders his release. Captain Smith returns in safety to his friends. Later Pocahontas is taken prisoner by the English and held as hostage. While a prisoner, she is converted to Christianity, and falls in love with Rolfe, a handsome young Englishman. They are married in a rude little church at Jamestown, and the Indian princess sails away with her husband to England. There she is received with royal honors by King James I, but the foreign flower cannot stand transplanting. She soon sickens and dies, and in her last hours is visited by visions of the home in the wilderness that she would fly back to if she could.""[1]"
1910,Ramona,American,D. W. Griffith,"Mary Pickford, Henry B. Walthall",drama,https://en.wikipedia.org/wiki/Ramona_(1910_film),"Ramona chronicles the romance between Ramona (Mary Pickford), a Spanish orphan from the prestigious Moreno family, and Alessandro (Henry B. Walthall), an Indian who appears on her family's ranch one day. A man named Felipe (Francis J. Grandon) proclaims his love for Ramona, but she rejects him because she has fallen for Alessandro. They fall deeply in love, yet their desire to wed is denied by Ramona's stepmother, who reacts by exiling Alessandro from her ranch. He returns to his village, only to find that it has been demolished by white men. Meanwhile, Ramona is informed that she also has ""Indian blood"", which leads her to abandon everything she has to be with Alessandro. They marry, and live among the wreckage of Alessandro's devastated village. They have a child together and live at peace until the white men come to force them from their home as they claim the land. Their baby perishes, and then Alessandro is then killed by the white men. Ramona is then rescued by Felipe and returned to her family back on the ranch.[3]"
1910,What the Daisy Said,American,D.W. Griffith,"Clara T. Bracy, Mary Pickford, Mack Sennett",unknown,https://en.wikipedia.org/wiki/What_the_Daisy_Said,"The film opens upon two sisters (Martha, played by Mary Pickford, and Millie, played by Gertrude Robinson) standing in a field of daisies. Millie plucks the petals off of one to divine whether he loves me... he loves me not. The girls part ways; Martha's next stop is the vegetable patch in which a lanky farmhand diligently labors with a shovel. She passes up the farmhand's polite offer to become sweethearts and promptly steals away to town to get her palm read by a woman fortuneteller. There, a mustachioed gypsy catches her eye, and he tells her a fortune in which he ""plans her future to his liking"". The pair run off together, crossing a brook into which he saves her from falling. They arrive at a waterfall where he ""induces her to believe his prophecy must be true"". After that brief exchange, Martha jubilantly skips home, passing the lanky farmhand who pays her no heed.
Arriving at the homestead, she immediately resolves to return to the waterfall. At their second meeting, the gypsy greets Martha with open arms and after some animated entreaties she meets his embrace. In a brief cutaway, Millie looks for Martha at the orchard, but can't find her. Martha reluctantly bids the gypsy adieu—after she is gone, he laughs and struts confidently. Martha's stealthy return escapes the notice of Father and Millie who are sitting on the porch of the homestead. They seem to accept the explanation of her absence when she motions to the second story of the house. Martha then talks Millie into getting her own fortune read and they slip away, hand in hand, over a rough-hewn fence, through the field of daisies, and into town. While the fortuneteller is examining Millie's palm, Martha is distracted by one of the townswomen. The crafty gypsy then swoops in and charms Millie into accompanying him to the romantic waterfall. When Martha returns to the fortuneteller's tent, Millie is nowhere to be found.
Millie, in the meantime, has bounced home and back to the waterfall, where the gypsy bids her to sit on a conveniently-placed bench. Martha wanders back to the waterfall (via the orchard), where she is horrified to find the gypsy with his arm around Millie and observes them long enough to witness him kiss Millie on the cheek. Heartbroken, Martha returns to the orchard to weep. To complicate things, Father departs the homestead and his route takes him by the waterfall where he discovers his daughter in close personal contact with the gypsy. In a fit of rage, the old man tears the gypsy from his daughter and reproves him wildly. Father raises his cane to strike the gypsy, but the gypsy impulsively fells him with a two quick blows to the torso. Aghast at what he's done, the gypsy escapes just as two passersby arrive on the scene.
The gypsy flees through the field of daisies as a growing mob of farmhands set out looking for him. After passing through an overgrown field and over the brook, the gypsy arrives at the orchard. Martha, unaware of his wrongdoing, yields to his pleading and successfully conceals him in a barrel underneath potatoes she empties out of a bushel basket. After the farmhand posse passes, and just as Father is recovering with the help of Millie and a passerby at the waterfall, the gypsy emerges from the barrel and bids the jilted Martha a hasty and perfunctory farewell. The posse eventually catch up with the gypsy back at the fortuneteller's wagon, where they warn him in no uncertain terms to leave town, which he does with a bindle over his shoulder. The dejected Martha, sitting on some wooden steps leading up from the road, looks up to find the posse marching the gypsy out of town. She wanders off to the vegetable patch where she finds solace in the arms of the lanky farmhand she had rejected earlier. The film concludes in the field of daisies where Millie abandons another round of petal plucking to walk off arm-in-arm with a strapping farmhand who appears out of the blue."
1910,The Wonderful Wizard of Oz,American,Otis Turner (unconfirmed),Bebe Daniels,unknown,https://en.wikipedia.org/wiki/The_Wonderful_Wizard_of_Oz_(1910_film),"In Kansas, Dorothy and Imogene the cow are chased by a mule, and the farmhands draw their muskets at the beast. Dorothy runs off to their field and discovers that the family scarecrow is alive. The Scarecrow begins to notice a storm building up and hurries the Mule, the Cow, Toto and Dorothy behind a haystack. A tornado appears overhead and carries the haystack away, thus letting it fall into the Land of Oz.
In Oz, The Wizard in the Emerald City declares that he is retiring from being the ruler and he will be crowning a new leader. The wicked witch Momba appears and attacks the wizard and the paper dissappears. Meanwhile, Dorthy is playing with Toto, while being stalked by the Cowardly Lion. The good witch Glinda decides to turn Toto into a real protector that can fight off large predators. While Toto befriends the lion, the Scarecrow finds the wizard's paper on a tree.
The traveler's continue onward and find the Tin Woodsman. They oil him and find Eureka the cat. When they enter a forest, Momba the Witch flies out the window as her soldiers come out of the cottage, they are all captured and led into the witch's jail-house. Dorthy splashes water on Momba and kills her. After defeating the witch, the travelers arrive at the Emerald City for the retirement party of the Wizard, who names the Scarecrow king and leaves in a balloon."
1911,Baseball and Bloomers,American,Unknown,"William Garwood, Marguerite Snow",silent sports,https://en.wikipedia.org/wiki/Baseball_and_Bloomers,"Though the film is presumed lost, a synopsis survives in The Moving Picture World from January 7, 1911. It states, ""Miss Street's Seminary for Girls has a very ambitious class of pupils. The young athletes, not content with basketball and tennis, aspire to shine in the great American game, and organize a baseball club. They are so satisfied with themselves that they finally send a challenge to Adair College, which has a crowd of husky young athletes in a club that thinks it amounts to something. When the challenge is received, the boys are first angry, then amused. They decide to accept it, to have fun with the girls. The young women, after some practice, realize that their team, while it may be pretty to look at, is of little real use on the diamond. And the prospect makes them weep. Fortunately for the girls, Jack, the brother of the president, arrives from Harvard. His chum, Jim, is with him. These two young men are baseball stars themselves, and when they are told of the predicament of the girls, they goodnaturedly offer to help them out. The university men disguise themselves as girls, act as battery for the young women, and the college boys, who had looked for a laughable victory, are mowed down, inning after inning, because of the work of pitcher Jack and catcher Jim. The other members of the 'girl' team have nothing to do except look pretty. When the boy athletes have retired from the field vanquished, the girls reward their battery with one kiss - only one - from each of the other seven players.""[1]"
1911,The Black Arrow: A Tale of the Two Roses,American,Oscar Apfel,"Charles Ogle, Natalie Jerome",drama,"https://en.wikipedia.org/wiki/The_Black_Arrow:_A_Tale_of_the_Two_Roses#Film,_TV_or_Theatrical_Adaptations","The novel is set in the reign of ""old King Henry VI"" (1422–1461, 1470–1471) and during the Wars of the Roses (1455–1487). The story begins with the Tunstall Moat House alarm bell, rung to summon recruits for its absent lord Sir Daniel Brackley, to join the Battle of Risingham; at which the outlaw ""fellowship"" known as ""the Black Arrow"" begins to strike with its ""four black arrows"" for the ""four black hearts"" of Brackley and three of his retainers: Nicholas Appleyard, Bennet Hatch, and Sir Oliver Oates, the parson. The rhyme posted in explanation of this attack, makes the protagonist Richard ('Dick') Shelton, ward of Sir Daniel, curious about the death of his father Sir Harry Shelton. Having been dispatched to Kettley, where Sir Daniel was quartered, and sent to Tunstall Moat House by return dispatch, he falls in with a fugitive, Joanna Sedley, disguised as a boy with the alias of John Matcham: an heiress kidnapped by Sir Daniel to obtain guardianship over her and to retain his control over Richard by marrying her to him.
As they travel through Tunstall Forest, Joanna tries to persuade Dick to turn against Sir Daniel in sympathy with the Black Arrow outlaws, whose camp they discover near the ruins of Grimstone manor. The next day they are met in the forest by Sir Daniel himself, disguised as a leper and returning to the Moat House after his side was defeated at Risingham. Dick and Joanna then follow Sir Daniel to the Moat House. Here Dick confirms that Sir Daniel is the murderer of his father, and escapes injured from the Moat House. He is rescued by the outlaws of the Black Arrow.
The second half of the novel, Books 3–5, tells how Dick rescues Joanna from Sir Daniel with the help of both the Black Arrow fellowship and the Yorkist army led by Richard Crookback, the future Richard III of England. It centres on Shoreby, where the Lancastrian forces are entrenched. Robert Louis Stevenson inserts seafaring adventure in chapters 4–6 of Book 3, wherein Dick and the outlaws steal a ship and attempt a seaside rescue of Joanna. They are unsuccessful, and after Joanna is moved to Sir Daniel's main quarters in Shoreby, Dick visits her in the guise of a Franciscan friar. Stevenson, the populariser of the tales of the Arabian nights, has Dick tell the tale of Ali Baba and the Forty Thieves in Book 4, chapter 6 to help him escape from the ruined sea captain Arblaster, whose ship Dick and the outlaws had stolen.
While shadowing Sir Daniel, Dick and the outlaws encounter another group of spies interested in Joanna. After a skirmish in which the outlaws prevail, Dick finds that he has conquered Joanna's lawful guardian, Lord Foxham, who promises to give Joanna to Dick in marriage after a contemplated seaside rescue. There is irony in Foxham scolding Dick, who is nobly born, for consorting with outlaws when the outlaws are recruited in Dick and Foxham's plans to rescue Joanna. Wounded in the failed seaside rescue, Foxham writes letters of recommendation for Dick to Richard Crookback, whom Dick must find on the outskirts of Shoreby.
Richard Crookback, Duke of Gloucester, makes his appearance in Book 5. As Dick is leaving Shoreby he sees Crookback holding his own against seven or eight Lancastrian assailants, and assists his victory. Dick's accurate knowledge of the Lancastrian forces in Shoreby aid Crookback in winning the battle that he wages later that day. Dick is also successful as one of Crookback's commanders. Crookback knights Dick on the field of battle and, following their victory, gives him fifty horsemen to pursue Sir Daniel, who has escaped Shoreby with Joanna. Dick succeeds in rescuing Joanna, but loses his men in the process. He, Joanna, and Alicia Risingham travel to Holywood where he and Joanna are married. In this way he keeps his initial pledge to Joanna to convey her safely to Holywood.
In the early morning of his wedding day Dick encounters a fugitive Sir Daniel trying to enter Holywood seaport to escape to France or Burgundy. Because it is his wedding day, Dick does not want to soil his hands with Sir Daniel's blood, so he simply bars his way by challenging him either to hand-to-hand combat or alerting a Yorkist perimeter patrol. Sir Daniel retreats, but is shot by Ellis Duckworth (the outlaws' captain) with the last black arrow. Thereafter Sir Richard and Lady Shelton live in Tunstall Moat House untroubled by the rest of the Wars of the Roses. They provide for both Captain Arblaster and the outlaw Will Lawless by pensioning them and settling them in Tunstall hamlet, where Lawless does a volte face by returning to the Franciscan order, taking the name, Brother Honestus."
1911,Brown of Harvard,American,Colin Campbell,Edgar G. Wynn,drama,https://en.wikipedia.org/wiki/Brown_of_Harvard_(1911_film),"The story deals with Tom Brown's efforts to save his fiance's ""black sheep"" brother Wilfred Kenyon from disgrace. An unfortunate state of affairs exists between Wilfred and Marion Thorne, the sister of Gerald, who is stroking the varsity crew. The situation is misunderstood by all but Tom. Matters reach a climax on the day the big boat race between Harvard and a champion English crew. Thorne as he is about to enter the boat is given an anonymous note to the effect that Marion is about to leave town with one of the college men. He throws the race and rashes to his sister, whom he finds in possession of Tom's check for an amount to cover her expenses. The check has been forged by Wilfred. Crazed with grief and anger, he rushes back to the boathouse. In the meantime, Tom Brown, Thorne's substitute has stroked the Harvard crew to victory and he is faced by the irate Thorne, who brands him as a scoundrel, producing the check to substantiate his charges. Brown remains silent preferring to be misunderstood rather than expose his loved one's brother. Wilfred confesses and wrongs are righted."
1911,For Her Sake,American,Unknown,William Garwood,unknown,https://en.wikipedia.org/wiki/For_Her_Sake,"The film is a period drama taking place right before the start of the American Civil War. A young Southern girl chooses between two suitors. She chooses the man who goes to fight Stars and Bars of the Confederacy whilst the rejected suitor goes to fight for the Union. During the war, the Confederate soldier is captured and brought before the Union officer who recognizes him as his rival. The Union man is cruel to his rival and tries to break his spirit with harsh treatment. The girl hears of his plight and becomes determined to rescue him. She evades the guards and gives her lover a file to free himself from the bars. Together they flee and are discovered in the final moments of their escape. One of the sentries shoots at the man, but his shot misses and the two flee on horseback.[1] The Union officer is enraged by the escape and tracks the pair to the girl's home just over the Federal line. He sets up guards around the house and enters alone to take them prisoner by his own hand. He makes his way through the house and breaks down the doors to find the man he wants. Upon finding the man, he does not arrest him - for the Confederate soldier is grief-stricken and bending over the body of his fiancée. The bullet the sentry shot at him instead took her life. Together the two rivals mourn her death, and the Union officer leaves without arresting his rival - for her sake.[1]"
1911,David Copperfield,American,Theodore Marston,"Marie Eline, Florence La Badie, Mignon Anderson, William Russell",drama,https://en.wikipedia.org/wiki/David_Copperfield_(1911_film),"""David Copperfield consists of three reels and as three separate films, released in three consecutive weeks, with three different titles: The Early Life of David Copperfield, Little Em'ly and David Copperfield and The Loves of David Copperfield.[4]"
1911,The Pasha's Daughter,American,Unknown,William Garwood,unknown,https://en.wikipedia.org/wiki/The_Pasha%27s_Daughter,"The film begins with Jack Sparks, a young American, who is traveling in Turkey. He befriends an aged Turk during a carriage ride and the Turk invites Jack into his home. The man smokes from a hookah and several of other men arrive and speak with the Turk whilst Jack wanders about the house. Soon afterwards, the men are all arrested for conspiracy against the government and Jack is imprisoned as one of the conspirators. In jail, Jack tries to make his escape and throws the guard to the ground, no sooner has he left the cell is he forced back by two more guards. He struggles in vain, but is once again locked in his cell. Jack gets an idea to escape when he sees the bed sheet and the cell window. Using his pocket knife, he digs out the bar of the cell window and drops to freedom. He struggles and overpowers a guard before climbing over the wall and into the courtyard of the Pasha's palace.[1]
The Pasha'a daughter, Murana, finds him hiding and orders her servant to assist in Jack's escape. Guards appear and announce that they are looking for the escaped prisoner, but they are turned away. Dressed up as a woman, Jack tries to have Murana flee with him. She says that one day she cannot marry him now, but she may come to his country one day. Jack trades a flower for his business card and departs. A year later, Jack and his mother have a visitor ushered and they stand in confusion at the beautiful young woman. Jack does not recognize her until she covers her face with her veil and she announces her intention to be his bride.[1]"
1911,Sweet Memories,American,Thomas H. Ince,"Mary Pickford, King Baggot",drama,https://en.wikipedia.org/wiki/Sweet_Memories,"Polly Biblett (Mary Pickford), a young lady, tells her grandmother Lettie about her new boyfriend. The news provokes the elderly woman to reminisce about her own sweetheart, long time before. The touching sequence expresses the power of lives going on, the older woman aging as her grandchildren grow and knowing they will soon have children of their own."
1912,The Deserter,American,Thomas H. Ince,"Francis Ford, Ethel Grandin",unknown,https://en.wikipedia.org/wiki/The_Deserter_(1912_film),"The story concerns a soldier who deserts his regiment and encounters a wagon train of settlers. When finding an attack by American Indians is eminent, he returns to his unit in order to elicit help."
1912,Dr. Jekyll and Mr. Hyde,American,Lucius Henderson,James Cruze,horror,https://en.wikipedia.org/wiki/Dr._Jekyll_and_Mr._Hyde_(1912_film),"White-haired Dr. Jekyll has secretly locked himself in his laboratory administering himself with a vial of formula. He slumps into his chair with his head on his chest. Slowly, as the drug takes effect, a dark-haired, taloned beast now appears in the chair. After repeated use, Jekyll's evil alter ego emerges at will, causing Jekyll to murder his sweetheart's father. The evil personality scuttles back to the laboratory only to discover that the antidote is finished and that he will be as Mr. Hyde forever. A burly policeman breaks down Jekyll's door to find that the kindly doctor is dead after taking poison."
1912,The Land Beyond the Sunset,American,Harold M. Shaw,"Martin Fuller, Mrs. William Bechtel, Walter Edwin, Bigelow Cooper",unknown,https://en.wikipedia.org/wiki/The_Land_Beyond_the_Sunset,"Joe is an impoverished New York newsboy who lives with his abusive grandmother. While selling papers, he is given a ticket for a children's excursion sponsored by the Fresh Air Fund.
The next morning, Joe sneaks out of his tenement home to join the excursion, where he sees the countryside and the ocean for the first time. After a picnic, an adult volunteer reads the children a story about a young prince who is beaten by an old witch. A group of fairies rescue the boy, take him to a boat, and sail off for ""the Land Beyond the Sunset, where he lived happily ever after."" Joe imagines himself as the boy in the story.
When the group returns to the city, Joe stays behind because he is afraid of his grandmother. He wanders to the beach, where he finds a rowboat and decides to go to the Land Beyond the Sunset himself. He pushes the boat into the water and climbs in. The film ends with a long shot of Joe drifting out to sea."
1912,The Musketeers of Pig Alley,American,D. W. Griffith,"Elmer Booth, Lillian Gish",drama,https://en.wikipedia.org/wiki/The_Musketeers_of_Pig_Alley,"The film is about a poor married couple living in New York City. The husband works as a musician and must often travel for work. When returning, his wallet is taken by a gangster. His wife goes to a ball where a man tries to drug her, but his attempt is stopped by the same man who robbed the husband. The two criminals become rivals, and a shootout ensues. The husband gets caught in the shootout and recognizes one of the men as the gangster who took his money. The husband sneaks his wallet back and the gangster goes to safety in the couple's apartment. Policemen track the gangster down but the wife gives him a false alibi."
1912,The New York Hat,American,David Wark Griffith,"Mary Pickford, Lionel Barrymore, Lillian Gish",unknown,https://en.wikipedia.org/wiki/The_New_York_Hat,"Mollie Goodhue leads a cheerless, impoverished life, largely because of her stern, miserly father. Mrs. Goodhue is mortally ill, but before dying, she gives the minister, Preacher Bolton, some money with which to buy her daughter the ""finery"" her father always forbade her.
Mollie is delighted when the minister presents her with a fashionable New York hat she has been longing for, but village gossips misinterpret the minister's intentions and spread malicious rumors. Mollie becomes a social pariah, and her father tears up the beloved hat in a rage.
All ends well, however, after the minister produces a letter from Mollie's mother about the money she left the minister to spend on Mollie. Soon afterwards, he proposes to Mollie, who accepts his offer of marriage."
1912,Petticoat Camp,American,Unknown,"William Garwood, Florence La Badie",comedy,https://en.wikipedia.org/wiki/Petticoat_Camp,"Only lasting 15 minutes, it is a light-hearted comedy about the battle between the sexes as several married couples go on a camp-out together. The women soon realize that the men expect them to do perform all of the work while they relax, leading to several comedic situations."
1912,Put Yourself in His Place,American,Theodore Marston,"William Garwood, Marguerite Snow",drama,https://en.wikipedia.org/wiki/Put_Yourself_in_His_Place,"The story is of an English manufacturing town {Huddersfield} in which Henry Little, a worker and inventor, is persecuted by trade unions, jealous because he was better trained than his fellows. Squire Raby, Little's uncle, is a forcible character, and a pleasant love story offsets the labor troubles. A purpose of the novel was to expose, without censure, the errors of early trades unions."
1912,An Unseen Enemy,American,D. W. Griffith,"Lillian Gish, Dorothy Gish",unknown,https://en.wikipedia.org/wiki/An_Unseen_Enemy,"A physician's death orphans his two adolescent daughters. Their older brother is able to convert some of the doctor's small estate to cash. It is late in the day, and with the banks closed he stores the money in his father's household safe. The slatternly housekeeper, aware of the money, enlists a criminal acquaintance to help crack the safe. They lock the daughters in an adjacent room, and the drunken housekeeper menaces them by brandishing a gun through a hole in the wall. The resourceful girls use the telephone to call their brother who has returned to town. He gets the message and organizes a rescue party.[6]"
1913,Barney Oldfield's Race for a Life,American,Mack Sennett,"Mack Sennett, Mabel Normand, Ford Sterling, Barney Oldfield",comedy,https://en.wikipedia.org/wiki/Barney_Oldfield%27s_Race_for_a_Life,Barney Oldfield races a speeding locomotive to rescue a damsel in distress tied up on the tracks by evil villain Ford Sterling.
