customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
cust_ab3117ba4d4287b80b99ff34,uniq_95939d69a39290679b8b3d66,88907,Rockville,MD
cust_80ef2549f584d96adcce89b1,uniq_ba9d81cc3c395a78b9c289a0,13478,Clarksville,TN
cust_cb31df90f600f138ab4d05a8,uniq_f2c2f66e0975eb21914a1afa,83563,Los Angeles,CA
cust_5755624f636ded3ba2d036e9,uniq_6ad8bfcfe2546b84541971f4,36062,Buffalo,NY
cust_230d4692855421de2396916e,uniq_e53dde14c8572f6d76e7155f,95181,Savannah,GA
cust_503be81c3abf8964241df8b5,uniq_d95d4da4b61f95bc9fb14274,81426,Houston,TX
cust_3effcb9a4612e12b4fde28f1,uniq_ea9680f92a2a0671cb29b23b,64987,Orlando,FL
cust_1819c2ad0371822f8f7fa376,uniq_16eb959366d6f15a6f366a14,38893,Mesa,AZ
cust_cea40db141790f9fa3f1a71c,uniq_0ffc5bc75a00c25128b9392f,68878,Aurora,IL
cust_90b05c0ba9feb71f72858594,uniq_f17556faf286a566ed5906d8,87236,San Jose,CA
cust_45b4163da599ed7030efffdc,uniq_9514901cbe31ae681c2780d1,46463,Columbus,OH
cust_383989292fcd00dce874eed2,uniq_c164ee8afabde6d79a566017,10851,St. Petersburg,FL
cust_355019af1d2b92ed233b0f8e,uniq_dd12c997cc229d8b33b8b6cf,30926,Miami,FL
cust_25cfb15099466e4473ca5c10,uniq_bc60e71219778557ad0ac579,65392,Erie,PA
cust_b0bcac85b4fc595a43e32713,uniq_bb6c83d4d7c9543a445ad0cd,54597,Lansing,MI
cust_8d0415b9b2745a4e3894e2c0,uniq_503fca7b06db156ea15e5668,46421,Detroit,MI
cust_4cdf1a143566e26ba110909c,uniq_c9f197d19bc6c7b9349934d9,30379,Augusta,GA
cust_50481a56dc228ac24bed4a24,uniq_00c90169a57ac161f3af55f0,38221,Durham,NC
cust_1b1f2a010c681cdf6bfc73f2,uniq_d0187f1e4371f4118f7ad333,54118,Lansing,MI
cust_636c86caeb810b28775f176c,uniq_e31093af08b1f08e95d07805,23396,San Antonio,TX
cust_4e5e63178e546998917914ce,uniq_7e6d3f1b7c580bee85b0f1c6,22156,Rochester,NY
cust_6af7a882f9512389f80342d5,uniq_5b02559ae273babe576f765c,59797,Edison,NJ
cust_77a0e61520352bd42d80c434,uniq_4517f0344a03787580ef578d,22676,Newport News,VA
cust_90df16048a8d65d3affa6777,uniq_00795587c8ec5f6a75482d53,57052,San Jose,CA
cust_31fe66782842016e55fa9e05,uniq_88c8b9d78e268deae85d2eec,55082,Albany,NY
cust_ed331bb93e8c9366b6b2125d,uniq_c540a61b5d4b4f093daf0781,89131,Tacoma,WA
cust_ba9b30dc8c705278be5ae059,uniq_117fefb37c01cb0bc8ddaa05,44671,San Antonio,TX
cust_4b4b9c9871d3cb924dca58b3,uniq_76ca48994413953697d83b78,15695,Cleveland,OH
cust_67f46581fd76bde4b7ceaa0f,uniq_7de084e63f63da7cc32c0d89,70217,San Francisco,CA
cust_168e69edffcc99a2200f0dc5,uniq_3ff050cf8139d6cecba60c3f,80284,St. Petersburg,FL
cust_10af41c07991ff842b9a65ca,uniq_cd616ee8c562f08eab9d2e84,26361,Joliet,IL
cust_1668247db6d8eba6164f487c,uniq_ab248bde3081a7179a526efd,59615,Greensboro,NC
cust_8bc27059d91837eea4e366ad,uniq_f18846557f85fc8826f9db8c,20328,Cincinnati,OH
cust_fdc83a4eeb98359cb4972bfa,uniq_9c11f22aed376bf2e610df6d,82357,Greensboro,NC
cust_48d847e7349eca36d2b98639,uniq_76d4a9684fdcd29fb076a19e,48427,St. Louis,MO
cust_8df54b811f649b8c2d7b4d2c,uniq_33f0b5423773b8de5c55b366,92397,Joliet,IL
cust_320a3a4a1e2d63c6718e37e9,uniq_fd50c21cdcaeb4e93f1fd5a5,91070,Tampa,FL
cust_874571935a329082688da734,uniq_fbd6eb220a17d8186861e1e6,57400,San Diego,CA
cust_02f0f829b90c4dd5ee35100a,uniq_7aa4c2a39f810409df459d90,85674,Tacoma,WA
cust_5e1b0f1e993f8085e381d3a7,uniq_08594c21f546a6460209d69a,35203,San Diego,CA
cust_0f7e2b704a71b892720ed519,uniq_23d63facc3e0dd6793f28183,19116,South Bend,IN
cust_87a260923980636af3503e3a,uniq_179d3eef71de88e0cc26050e,16006,Dallas,TX
cust_26d8c7353528c63a7b5ff576,uniq_d9a9066b799d6543deab93d0,96673,Richmond,VA
cust_afd2a65ab731137367b4f37b,uniq_d945c382013efde2e229e815,39871,St. Petersburg,FL
cust_e9d320dbb2c0a6e672729fbb,uniq_8ce2f9ec0aaa9d3d41511b7c,47930,Rockford,IL
cust_0874693bbd4202197feec046,uniq_0f45c3ff4cf7ea58fe70856d,20458,Miami,FL
cust_f8a30520551c4c59114353bb,uniq_b9c14c806e9c9e3a919f1e1e,40512,Bowie,MD
cust_e652d4a4ed1f3261e9275992,uniq_94331bfd12e6126f995321c6,23238,Detroit,MI
cust_9e2319dd08d5df8fbd67b431,uniq_c05b3c16d8004d5ae6c10984,59823,Gaithersburg,MD
cust_21dc29d94306fdb5a95113ca,uniq_be8a4239cfe816a7029001f7,46434,New York,NY
cust_1ea22e60977358c290bfed0b,uniq_2940f5a52899f33321dba933,69429,Raleigh,NC
cust_a1ce0e26587f8d25573f4859,uniq_489e3f67e9ac21fec4902728,93320,New York,NY
cust_29b97d96282223833ed2be8a,uniq_f6bec56d94b9587dab5cafab,57819,Dallas,TX
cust_773043163be442da41afe1ea,uniq_4b613c069d50cb353ae3832d,31319,Columbus,OH
cust_6138d5221a268d0e623ec5c1,uniq_8ad86244c918bf63aac5b7f5,58520,Albany,NY
cust_1554882de1c71f49aad14f5c,uniq_f53ee7671140c52358343426,56566,Jacksonville,FL
cust_8ea3e01fd59bb3a7f3c2d228,uniq_6264000f16e73af6c780bec3,37460,Austin,TX
cust_ebac13c102c940fb9c3a59e7,uniq_83b71db5bbce88573d89de24,97841,Charlotte,NC
cust_78adf6d88662ca5f95357936,uniq_58444557039bc77164ed6ac9,44993,San Jose,CA
cust_c3a8c35286fea4552067b6ba,uniq_73902fe8f55e0eadbca5177b,99593,New York,NY
cust_0f18a9d2a2b3ee2a8f33d5cf,uniq_145831a1d54708febe550d51,94939,Buffalo,NY
cust_89d4cd2fccbaaf4815b4e74d,uniq_7899ecb6e2032d6883cf71d5,19358,Athens,GA
cust_4edd7b77515f2ef666655061,uniq_096e54063633a014aa575090,89840,Syracuse,NY
cust_95427b14bf3890900a12b2d7,uniq_054bf67b17ceb8dae28e5d34,93227,New York,NY
cust_37cc2818bf9af77145902146,uniq_bd35b02a176d1688bca37dba,32431,Kansas City,MO
cust_ccf9b227c419ddd529ad5557,uniq_1053a76f5d028ca1d56aedf4,80010,Baltimore,MD
cust_8f56049a6341bcdc03dd230e,uniq_1253b42fa0bae36f1d4f8f1d,42087,Houston,TX
cust_c21502b08908b288b408af2b,uniq_43d569f10e17cd6bd0800afc,31417,Athens,GA
cust_3f6fbd941e0ff339ac748e4e,uniq_ed35f6bc4db7cbc85f5412de,70589,San Diego,CA
cust_0b129d45c9892269d373ab71,uniq_1437956d80fd4cc16befea33,59735,Miami,FL
cust_28858cfb3f7de50346006bc5,uniq_33539a8cf0a69482e5d6c7b7,45382,San Antonio,TX
cust_fa6069f1cee0f54c3ad545f3,uniq_78a6c9ce2eb2d71b186490e7,93886,Houston,TX
cust_31c48cb29e79dc78f4e9cbe5,uniq_70ded906336633441a3e872d,83000,Columbus,GA
cust_b5b6fcf7fdd18ba86a8832c4,uniq_3247d09baafab46b805bf756,38785,Dallas,TX
cust_d2ef21142deddbbe951e0f50,uniq_59f6b049c97db1bc73d368ad,99733,Springfield,MA
cust_64ab919bdbd01788286c7df7,uniq_e9bf964afcd7ff6faa74b318,52504,San Diego,CA
cust_eb424815f35ab786ccded476,uniq_eb6eb6821badc38918227ff6,17331,Jacksonville,FL
cust_d8763ccec41d11f62457bcfd,uniq_3682edb8906d3b98df0a14bb,40021,San Diego,CA
cust_2a4e97cf5008e7bad5a9497f,uniq_421a1ac4333123ae2a06bca1,14207,Atlanta,GA
cust_8e8ce3de07242c3bcfd8a665,uniq_a64c0a48a480f6944b9cd893,51347,Syracuse,NY
cust_e061c9bf5c9b4f58b9acd555,uniq_d4dc8101807cf0c1c59fbb29,62581,Knoxville,TN
cust_de1efece4485ebbb526d3f5b,uniq_846db6e0d1ccce3652a6b9e7,45093,San Diego,CA
cust_a46f1d35d5daed6ea5026c15,uniq_034958db1e56d4361956fb88,18675,Albany,NY
cust_0cfed8ebcad82d889425edcc,uniq_18a57eba135cbb0fbe7381fc,37653,San Francisco,CA
cust_35d9fcbe92046ca4b087149b,uniq_7f91f70bcdaa708e82fbf07a,84341,Philadelphia,PA
cust_c516a37f82d917140d3bdaaf,uniq_a83e7fbd84a6317a75f13d4e,51245,Mesa,AZ
cust_3ebe5a7397e2d897bcabeb4e,uniq_ca21263ec27f5e5cd6aa5223,37869,Vancouver,WA
cust_83d23467941b216b47150757,uniq_df5f153363d6e1c62bfaf6b5,95909,Tucson,AZ
cust_5e33e41625426efec7fc7315,uniq_f24858cd5b8b4a00041f2ae2,75435,St. Petersburg,FL
cust_620dc91c146ded9f8ae39ea7,uniq_09233c9d8bf1934669ced9c1,61856,San Francisco,CA
cust_40d1de85175ecbd9e6af1bc2,uniq_bbf9a2fbf95216731f6dc8c1,94259,Madison,WI
cust_bb3700a9340bab71e5228184,uniq_a56a8993f93954cf5e1b8603,70142,San Antonio,TX
cust_70bceaa20a95152305f9717f,uniq_4de89f88e476dde869428769,28726,San Diego,CA
cust_e3b87ab6297d7c7a77a66cdc,uniq_8cb85315ec8c32e2b69242aa,44718,Rockford,IL
cust_16647fc26705fa80ec0aa9cf,uniq_6c6718e20016a4ed19e2bd05,28301,San Francisco,CA
cust_089fe43945b07d954e7dab7d,uniq_4e528c1f5092ef5be1b64eed,42325,Reading,PA
cust_a14b4052da132fdff15839a7,uniq_de4685349751d8aab39405fa,83579,Chesapeake,VA
cust_2d45c77f743d20c1a5ed7d69,uniq_ec129b9a1aaa384eef6bbfcf,80644,St. Petersburg,FL
cust_350c9383ddfed066266b66ac,uniq_593703429d0cbb57fc071754,44438,Sacramento,CA
cust_4d79ebd61af9fc0f64092482,uniq_0cd2fb45481a02c8002f2804,86622,St. Petersburg,FL
cust_c81616d702ab366db08ae37a,uniq_24a2d0ae2f69e1eb89de0705,66155,Syracuse,NY
cust_6ad2dbcfe831662a228ee4bc,uniq_432f19465045a8d7d4cce2ae,86484,San Jose,CA
cust_3ab0241e1340ce333f9fcb87,uniq_59e5d5fd94712cb7c2cfbe23,62350,San Diego,CA
cust_d251f7d16470650bac8a817f,uniq_e98e86e64c17fa3ce8f75d3a,57447,Dallas,TX
cust_36679b4bb58c62f197d6108f,uniq_e6a27b3199138cf823af5524,38746,Albany,NY
cust_f8b5b235d3a5df49bf1e9f68,uniq_22a4b16ac99cdff7333a7213,28131,South Bend,IN
cust_023cee78a0a5cddaae6c437f,uniq_6f8ea662f32c9bc9804c593f,76784,San Francisco,CA
cust_b9f8cd32221fb414d07a7483,uniq_8bd880bf20b166a0bf6e19a4,74686,Rochester,NY
cust_af06408c364f83344a6e0912,uniq_fd04c30af8e94054b84d9e76,21915,Columbus,OH
cust_0454a7639dd252e8e0379640,uniq_be365542915f8e67ed617f76,16175,Aurora,IL
cust_639540a75507cfc41eb6b08f,uniq_631a12bfc0a412e59c780af8,24371,Tucson,AZ
cust_7eda7390fa6cd65e4d1344e9,uniq_895952d60e0575ef0e72c64c,30033,Virginia Beach,VA
cust_809a549cd81638f6ee2ce3f1,uniq_f705f8575ee055bc7c13eaad,92240,San Diego,CA
cust_d72c12fa450bdcd10b059abd,uniq_f7ab88960c2d55bdb91f34ec,30969,Gaithersburg,MD
cust_18770a22a58b5f1d15ce88ba,uniq_3b1e3d14e2a13e6d55fc2b8c,99192,Rochester,NY
cust_ec23d8413e8bcf4d0dedccdd,uniq_580f3dad8673bf28861152f7,65333,Atlanta,GA
cust_250710572872e88c8fb4685c,uniq_e91176f91f4c86b2f42e11c6,88172,Sacramento,CA
cust_5d5cbd2968d4f51dbc23d849,uniq_4a96b813acee771f8dd72465,18326,Columbus,GA
cust_38f368d63d7d0f7ef4f5099e,uniq_1ab3edac56bc804cc15787d5,60432,Orlando,FL
cust_bfc6d1738cd0374d399bcc4b,uniq_0460634b2cdc98f28dd45429,60019,Dallas,TX
cust_0ec46423a7906dbed2598ee3,uniq_96b347def984638e20b056db,88104,Sacramento,CA
cust_e3e0b653e6621db0073104ef,uniq_1457ccc0a238a28942405f0d,71348,San Diego,CA
cust_b9fdd5b62617163386617b94,uniq_97f1ef1d90bf457f4810b6a5,79352,San Antonio,TX
cust_ba2f6e3f79b3afb1f8f8b9c0,uniq_269e7345e4c9779de4c2bd4d,42953,Austin,TX
cust_9e37b7b5445b5c18642b1503,uniq_d30c634aeb72daf7df28581a,82512,Sacramento,CA
cust_ae234c54241639de16c67ec1,uniq_39ac1702816aa903fbd04a28,11504,Rockville,MD
cust_e65566fad74d1978a000788e,uniq_6d7662ae406cd856f111897e,99166,Buffalo,NY
cust_2494660114e18abce9d7c83c,uniq_434a7ea0187f91ea82c1697e,25014,San Jose,CA
cust_d4bbae6066003b096758c5a7,uniq_97e38e957c1e93809a0dc3d6,99353,San Diego,CA
cust_6443e69887a7c74931bd33a7,uniq_d4f57efa0460cd48e09a79a7,80381,Sacramento,CA
cust_1aceac535fba717a43e9e89a,uniq_a24597b5e71519e3c8acc102,44973,Milwaukee,WI
cust_771fcee78ea91caf53aa5f58,uniq_b38a9250a20990e89e00982e,94012,Akron,OH
cust_390b55e4939e0c2bba89a066,uniq_57a43c5e9446bb2547209e7e,54587,San Francisco,CA
cust_0d237bd7fb62cd2f72415876,uniq_47b28828b4c5a46e03e72693,24621,Houston,TX
cust_5d0956c982a9e08a3fe05dd0,uniq_efa650ce7152687bb591adee,48469,Charlotte,NC
cust_10ff1a85e101850fad183e09,uniq_f4ee741df31ec0b7fe8f2468,66985,Miami,FL
cust_183120d29da54b36ce2134a3,uniq_56750e4a5e0a28cf7429f7d1,30730,San Jose,CA
cust_feb76a56ac8f99a90c750fc8,uniq_2cc393c700c7aae80a31ec93,69470,Kenosha,WI
cust_990fc02a782cdc07c9587867,uniq_9a63f3354c69957538853b88,10425,Los Angeles,CA
cust_efca4efc148840710d16e842,uniq_21514b89938d3a16a0ef1275,44522,Austin,TX
cust_a3aa1b55f5a9f9db72eb50aa,uniq_76e5f10f781fd3b330de6373,75612,Lansing,MI
cust_3bd9d5cfd8e012f6929cf8c4,uniq_af35d19d5f0583952b5337fa,33416,St. Louis,MO
cust_52d33328dd2ac8e30866ef81,uniq_002a673f11d70b7ddf8109cd,76542,Evansville,IN
cust_3dc61dd3cd6d46a7a694d9c4,uniq_178ac965b8043174c8fb0b1f,23947,Cleveland,OH
cust_b94c630a7d3903dd95ff027c,uniq_230b6449c265c314bf7e9100,91959,Charlotte,NC
cust_c116f1f4b8cc2ea898adbfb8,uniq_2976e2ce5d7127218c19fddc,49117,San Diego,CA
cust_42ff787f4208e6b35ffecf49,uniq_4fbbde6b327098f2024fc2cc,93748,Virginia Beach,VA
cust_feb8eee5dfeedeb5179eb0d5,uniq_afd63d8c2672964043ce492c,76540,Syracuse,NY
cust_a0048acd0d5ae51096b8e86a,uniq_7bfc793a0ae0fbf599c0fe85,89818,Toledo,OH
cust_67bf963fd83a9de59d510506,uniq_3b2dfe079c79ceeffac25ba4,36071,Dallas,TX
cust_b73a1da102cf11d0a1d22b1e,uniq_6499654c341df80f524eefc8,30032,San Francisco,CA
cust_8778b8526e8be36e5fd65d12,uniq_3fcf27dffc944ba4653dc251,59009,Athens,GA
cust_3369b90495470a201ebf72f0,uniq_b6552ea5340908742510e97b,31174,Houston,TX
cust_7b3fa5aaa752eaf3076c0be6,uniq_a918177b6f9b2ef3862b40b3,80697,San Francisco,CA
cust_25e6ec6f60926e31a05c93ce,uniq_26d4c6066a5f6371234081d0,79514,Spokane,WA
cust_7ef9ebe90c5af7fc9308a193,uniq_a1506142a20227aa9fd08b75,10074,Akron,OH
cust_23992ce779efd99005862396,uniq_6cd4328660ccdaf38a58edc2,88504,Erie,PA
cust_25469b8d86fc699c79382428,uniq_77d1c269cf9534dc581727ed,52487,San Francisco,CA
cust_8534be7fc83e35ef25e1c27a,uniq_944d18949e7732920d1f3e6f,74042,Augusta,GA
cust_027b0a004fc22cb0e6b07ff1,uniq_e2cb24ca2db93aef2125b69a,12552,Glendale,AZ
cust_c44b5eba34da91fc686059da,uniq_9705685e497c8c870bd61c8d,24662,Lansing,MI
cust_903a8b78419722ca98c9aec5,uniq_4ea31daddd0ed5302fd261a1,57576,Houston,TX
cust_f0a28ac62a5acff53e70e6ca,uniq_b9edfddff0f4cd78d32716d3,50306,Augusta,GA
cust_8e8b6bf424cff2465567b5f1,uniq_7e6cdd3091b7adc06c85425e,41385,Green Bay,WI
cust_30d5a003f04fd5c05a3e62f1,uniq_fa3ed03d22fea37d5f812e61,17592,Jacksonville,FL
cust_8bb4d89ad11d67525b158f08,uniq_1549d3365213aa1388e77cc9,41571,Rochester,NY
cust_adc4854274482593ab0283d6,uniq_f09cffdbff69b775844c9c7e,84364,Syracuse,NY
cust_2c37ffe139224f797267b108,uniq_b2e75c3881eb63efc61f04ae,20322,Bellevue,WA
cust_2b81212ba5f92cfa8f6ae059,uniq_bb38d342b59b04962781ffa6,21226,Fort Worth,TX
cust_788b2c6e1f14561a6159986a,uniq_0f3a551cf6cbfe4ed49c29c6,73699,Grand Rapids,MI
cust_ff76becb721390d00d85d647,uniq_9777897b78151eaa2ee318ee,19071,Winston-Salem,NC
cust_9270589b2d17522f7394b2e2,uniq_e978e07e706f394a76135dd0,79822,Savannah,GA
cust_489ec6cdcf8d4365b54b6132,uniq_f3b6ebd98a2ff764383450a2,26483,Kenosha,WI
cust_d44d4751f08bee0078c2c719,uniq_d1d02e2d2b6de0bb495f167d,26828,Durham,NC
cust_403b3de94003f874a63c8b53,uniq_6fcfa5cbcc6aebb7ab73261c,96474,Kenosha,WI
cust_73cb3f4c4abaf679beebf167,uniq_79e755fe992100dec2770716,72296,Edison,NJ
cust_3bce24645b692353f2b3239d,uniq_d5f178998f55bd55062f087a,82063,Albany,NY
cust_301ab5ec3134cc1e309356ca,uniq_5c2234e168c6a3f3adcaf248,31643,Milwaukee,WI
cust_ce772ad3aefaf6d0ee28c559,uniq_f276182ee146fb9a31353a8f,44741,Orlando,FL
cust_458ee5b8bd56bb03d45ba8af,uniq_e5ffeca18a322919b1e05a8f,79163,Greensboro,NC
cust_73fff0d8a0c2301af2ca0cb9,uniq_8ea533bf0eda137a8d911588,89507,Lansing,MI
cust_6efad77b090ecf80446b7de0,uniq_c67c3cd9a1827b7606b368b0,65461,Atlanta,GA
cust_744e5f6b84dbde6be2a2af93,uniq_5b91ec3f47dfd9964cba46a9,37760,Greensboro,NC
cust_e2da553b5e2ad2874c109b5b,uniq_51484e55739e71c822056d63,80686,Cleveland,OH
cust_ed306661b3d1c85548949bbd,uniq_58b238b7ae082c45d68b839a,36365,San Diego,CA
cust_00ba538322103f1bf39c6757,uniq_b5e597c20003e0fee80702ac,50857,Tampa,FL
cust_4564ef8720df5f1e5f7e56d9,uniq_b761430fa8fbd4aef2c6e741,62296,San Diego,CA
cust_ca6c297d8153940cada05eac,uniq_2d67dd11195fef87abf96f65,98039,Houston,TX
cust_d750bcf47321f99b8df2b271,uniq_7cc5540a302e539b4cc21b83,95180,Newark,NJ
cust_8740db4cbbb3dcb1da17dd1a,uniq_2dc2dbeb629433ed5a3aa62a,58944,Spokane,WA
cust_d0d20cebed7c1dabd1191236,uniq_0aacf2e46ad80f6f4dd1bc2c,67422,Rockford,IL
cust_21bfe1f9d3e910c39a7a2a8c,uniq_5ba631b7f4cbbd45b4aa7b9d,77839,Erie,PA
cust_2b1723cbdb5021fc7bfd8d3a,uniq_1b58269c8a390e78e40fb4df,69177,Fort Worth,TX
cust_eab1da86b3433d2d757c3942,uniq_48c8665399e530f1a871d46d,25860,San Jose,CA
cust_75844cf4a9c54b07e5520b94,uniq_262f0465e8794de56a8dde5b,42493,Chicago,IL
cust_ac09a94316402377f656940c,uniq_437347d79ea8f1403d7d0d3e,39451,Miami,FL
cust_e1f005e6b85de0b2b8874b09,uniq_e31a9cf20a5c551087e4a91b,18392,Chicago,IL
cust_291df8905d4211d64ba5b8c6,uniq_b18cdd8600748d229540a012,54313,Fort Worth,TX
cust_19a6d5c7d270d064856e982b,uniq_6789b455be65d7481b78f963,12757,Tampa,FL
cust_ce1aaa9dfac80e979a5d026e,uniq_adfa411cf26043f66d190674,87110,Columbia,MO
cust_3f971c7224841cf1410d0699,uniq_21422d171ca23c4f8dadc927,82603,Allentown,PA
cust_82d235544f0973839f3bb940,uniq_162c413ac1ec956eb82f4a35,40161,Atlanta,GA
cust_b614e62746d84d2be22e73ff,uniq_c233b833313b880699a7d8be,87128,St. Petersburg,FL
cust_01061e04122f9efdbd215d9f,uniq_c0989be3a8bdeeb5e4c7107c,38864,Houston,TX
cust_c73e6af9115855530499adc7,uniq_5c3f8d54c669fe6714f0663d,10942,Fort Worth,TX
cust_a8498a29e8a86845b553eb2c,uniq_68be8fa9dfd861f3dfd6407f,19305,Allentown,PA
cust_27766069f3cb2a6454fa97af,uniq_acfca7e2347c5c89dbf23994,92719,Cleveland,OH
cust_2b8d260091f4aca28facc5cc,uniq_b493d33776bd486ffa5eba4e,17716,Augusta,GA
cust_449935949e3375f7dba362ab,uniq_d8e740ef61464a9588b3a97c,40007,Augusta,GA
cust_d44e53ffdbf250fe48edfbf8,uniq_6fe382e80b9106b58b9d7415,18834,Dallas,TX
cust_a6a81a26ddf6023e0ca49a4f,uniq_4530b443f7fa24f65bb7541c,14117,Dallas,TX
cust_6da05a518d6924c98450abcf,uniq_a62d275538084cdd77f56850,53309,Dallas,TX
cust_6012e38dfd4fe6d256fb74c9,uniq_36e36e44106f1d3f13234dd0,19287,St. Petersburg,FL
cust_9bbc0a72ab0eb98f2808f6da,uniq_896926b69bdd07161a2a8d37,77391,Athens,GA
cust_cdf15085a267b56aa14f9d94,uniq_ef961603f130025b135c3734,41195,New York,NY
cust_bcd416a6f86e7075495dd337,uniq_c1bdb9ddd3b3511705cf049b,46500,San Francisco,CA
cust_c95519efb2c622c272b07c3e,uniq_5ec062b721032e9604402189,97684,Virginia Beach,VA
cust_4ae06401badf5eaae5fd7a64,uniq_69d2098bc2c60621b27f7238,73624,San Antonio,TX
cust_ede52923b91dd3a8ee70f813,uniq_c150ff40887ede7e5fb4c17a,38080,Sacramento,CA
cust_3a6f89c9bfd7283d79e468d1,uniq_fbae3a231ab2b7002c44fdd5,80678,Vancouver,WA
cust_63c8be37d0f69fa402032452,uniq_af58891bf0deb375256f103f,27342,Charlotte,NC
cust_4544a7f33eef32b93bce2ebc,uniq_af8e76913ba54dae336835f2,84847,Tampa,FL
cust_3f6651871726ca31f1536a6b,uniq_6e16a7107d05de8016459e6d,85525,Springfield,MO
cust_f49bf2ac0962bb06aac4c36f,uniq_3a6e95a3b8912f9133862d6c,71953,Akron,OH
cust_f6b235ea041eb751976cea62,uniq_fd85dd3af570205e84b25119,41850,Erie,PA
cust_d1348c73d914fb040c515ea2,uniq_699efe48f231632991d0c023,71993,Spokane,WA
cust_e334134dea093b473e982225,uniq_cf52f135436e2484212785de,63354,Vancouver,WA
cust_875598074c8b3f75966d3c60,uniq_1738655b43c6bbe9b440442f,34957,Madison,WI
cust_0479a580f88191116108f8a0,uniq_6018de5f5b5c40a4273af10d,22363,Houston,TX
cust_4f63c4634d56d9f59bef9d97,uniq_4acecca57f6572d77ae898eb,22704,Nashville,TN
cust_17561c4999d04394291310f5,uniq_3801fd47bfaa45e2a48a682a,96374,San Diego,CA
cust_0921371e6484a0955c416cc4,uniq_84bc0c6b21c180f63eaf07f7,66498,Fort Worth,TX
cust_ee9eb73c390e6c86357fd2d2,uniq_7066671191661d18ccbf85b7,56438,San Jose,CA
cust_8e83493fa69d8d03b9435481,uniq_8e6b473a86864973d2fceb80,65519,Joliet,IL
cust_37c5a2364ec02ca43c4a4727,uniq_da74b465d75a629346d5ff15,63883,Jacksonville,FL
cust_7573af81a1b64b79b4935403,uniq_df5d5e7cbf59abf8a19ddd5f,71213,Richmond,VA
cust_c096d2c04730b4c8a9753bd8,uniq_286ebb713ccb4fd35b2ebbd6,17100,Joliet,IL
cust_aa587bd3e068fdbf2aefc17e,uniq_423c1bd735aaf1cb4a8b1649,98259,Fort Worth,TX
cust_aeb22d8464c47d5adadb41cf,uniq_fc508f762902798eac3a7afd,95649,St. Louis,MO
cust_fcfd2b91249248fb33e1d780,uniq_7a602291f437828e7776755d,94696,Virginia Beach,VA
cust_569c65a3d0a3b3d3c73169b0,uniq_1985563be39bf4a2f2a12623,22899,San Jose,CA
cust_59226d9e9ca2a2d4a8110669,uniq_33399f24d1e9c8f2837cbc48,17944,New York,NY
cust_ccd00355c7582024cff9f90a,uniq_f17d57acd9576a0e6b98b8ba,62772,Houston,TX
cust_189c711c8b549ee7ff896030,uniq_be411a0e38ec0301a7b8f882,54473,Elizabeth,NJ
cust_8f08bdf7385c7344ef04663e,uniq_1a84a7e7f272bb722a3015fb,24322,Austin,TX
cust_9ecd30664b3aacff1aa0f468,uniq_484550fa2667e7d7de285b7a,42591,Tampa,FL
cust_f992030b0b6dc1ae5f6882d8,uniq_a72ae93a4d1009c0ea4cdb20,35112,San Antonio,TX
