order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
ord_d6b0963d36242f960d120fad,cust_09d4100a7c433a335c8edb9b,delivered,2022-01-25 06:26:54.320952,2022-01-26 10:26:54.320952,2022-01-28 10:26:54.320952,2022-02-02 10:26:54.320952,2022-02-09 10:26:54.320952
ord_0fe6081750f7b15b2b484a26,cust_366e7f0567d07b5773c50d19,delivered,2022-09-24 22:53:41.006027,2022-09-25 12:53:41.006027,2022-09-27 12:53:41.006027,2022-10-01 12:53:41.006027,2022-10-02 12:53:41.006027
ord_75cad6828fd5012e0cacff55,cust_5bd3a5c2ff3d268c6f4fa1b6,delivered,2022-12-16 10:22:19.623917,2022-12-17 16:22:19.623917,2022-12-18 16:22:19.623917,2022-12-24 16:22:19.623917,2022-12-28 16:22:19.623917
ord_8c7fecb3dc2c12577ada6cbe,cust_e01cb2f350d168a6977132a5,delivered,2023-02-04 22:39:29.823262,2023-02-05 15:39:29.823262,2023-02-07 15:39:29.823262,2023-02-13 15:39:29.823262,2023-02-13 15:39:29.823262
ord_bbfeac159bdc845ff8cba940,cust_2ace40091f7d7b0985050107,delivered,2022-08-27 06:20:17.563100,2022-08-27 23:20:17.563100,2022-08-28 23:20:17.563100,2022-08-29 23:20:17.563100,2022-09-01 23:20:17.563100
ord_9abe29ebbffa3cac74957d66,cust_24b430668c18197713918e5b,delivered,2022-03-25 11:23:03.045510,2022-03-26 06:23:03.045510,2022-03-27 06:23:03.045510,2022-03-29 06:23:03.045510,2022-04-10 06:23:03.045510
ord_f7c36445d6ccb8fa72d0da91,cust_6330dce5207cf25f81efc976,delivered,2022-03-05 12:05:33.107247,2022-03-06 16:05:33.107247,2022-03-08 16:05:33.107247,2022-03-13 16:05:33.107247,2022-03-18 16:05:33.107247
ord_c2df4e7e7984af108c13e953,cust_5facaeba9cfb2e14e6496fe7,pending,2022-04-20 10:20:58.373557,2022-04-22 08:20:58.373557,,,2022-04-28 08:20:58.373557
ord_c5712da0de5cb962d817f687,cust_57bf6acb6187fdfc43b0562d,delivered,2023-02-17 19:07:12.488749,2023-02-18 19:07:12.488749,2023-02-19 19:07:12.488749,2023-02-20 19:07:12.488749,2023-02-26 19:07:12.488749
ord_87891c38b48e2af33ade1036,cust_69431a99daa984220dcc2c0a,delivered,2023-03-01 06:21:50.432756,2023-03-02 03:21:50.432756,2023-03-03 03:21:50.432756,2023-03-13 03:21:50.432756,2023-03-08 03:21:50.432756
ord_986f7713f8c1ff0aff12f5f5,cust_54e519ac073ce1ae8a58ddf9,delivered,2023-01-19 17:04:29.767832,2023-01-21 06:04:29.767832,2023-01-24 06:04:29.767832,2023-01-30 06:04:29.767832,2023-02-05 06:04:29.767832
ord_8fcb7bc2787f2b4d08cc137b,cust_21cdf7e88ead2cd0d1bc2a8c,delivered,2022-03-23 15:49:31.298072,2022-03-25 10:49:31.298072,2022-03-26 10:49:31.298072,2022-04-01 10:49:31.298072,2022-04-05 10:49:31.298072
ord_4a73268100b64a339594ae2d,cust_d25fe4c670d4b2d2b56d96e3,delivered,2022-07-18 18:05:39.756991,2022-07-19 18:05:39.756991,2022-07-22 18:05:39.756991,2022-07-24 18:05:39.756991,2022-07-27 18:05:39.756991
ord_fec27828fce6682994b48de4,cust_db46782ed8e96581bf1668eb,delivered,2022-04-09 22:55:47.540833,2022-04-10 19:55:47.540833,2022-04-13 19:55:47.540833,2022-04-19 19:55:47.540833,2022-04-15 19:55:47.540833
ord_0eae848557250c5e1d87e3d1,cust_df50671dcfc1ec7c6cb312a6,delivered,2023-02-15 11:41:55.102640,2023-02-16 22:41:55.102640,2023-02-17 22:41:55.102640,2023-02-22 22:41:55.102640,2023-02-24 22:41:55.102640
ord_899c2304a7eb225f3d6b10d0,cust_2f6ddb2df56310f886ca557f,delivered,2023-08-17 05:03:48.007130,2023-08-17 17:03:48.007130,2023-08-18 17:03:48.007130,2023-08-28 17:03:48.007130,2023-08-30 17:03:48.007130
ord_8ff2efa11b31558ad9f839cc,cust_601c835194ff00ae9366cb6f,delivered,2022-01-19 12:02:58.640258,2022-01-20 19:02:58.640258,2022-01-22 19:02:58.640258,2022-01-29 19:02:58.640258,2022-01-28 19:02:58.640258
ord_a673f80db8bb3e289aae24d8,cust_ce1aaa9dfac80e979a5d026e,delivered,2022-08-07 03:56:32.297684,2022-08-08 11:56:32.297684,2022-08-11 11:56:32.297684,2022-08-21 11:56:32.297684,2022-08-13 11:56:32.297684
ord_b0c4d336b7e6414add436601,cust_afe3117d7657d5388a07a3ad,delivered,2023-08-13 17:17:30.789701,2023-08-14 11:17:30.789701,2023-08-15 11:17:30.789701,2023-08-19 11:17:30.789701,2023-08-22 11:17:30.789701
ord_e6637b90d8a2a77869d69e2d,cust_5225a8dc84193f8e155e498a,delivered,2022-09-25 11:50:57.473585,2022-09-25 18:50:57.473585,2022-09-26 18:50:57.473585,2022-10-03 18:50:57.473585,2022-09-30 18:50:57.473585
ord_4e9f3572182c904de6284093,cust_282d6458916116f5c572a575,delivered,2023-06-12 18:14:21.961866,2023-06-14 18:14:21.961866,2023-06-17 18:14:21.961866,2023-06-27 18:14:21.961866,2023-06-20 18:14:21.961866
ord_ed31d807dfa30806961628aa,cust_4193d13c860610c34348fbc0,delivered,2023-10-28 17:59:40.225703,2023-10-30 01:59:40.225703,2023-10-31 01:59:40.225703,2023-11-01 01:59:40.225703,2023-11-09 01:59:40.225703
ord_7dbc610574dbbd9c78ca3d9e,cust_1bfa79ae5894c197350d46c0,delivered,2023-09-30 13:05:38.384289,2023-09-30 22:05:38.384289,2023-10-03 22:05:38.384289,2023-10-05 22:05:38.384289,2023-10-13 22:05:38.384289
ord_8eff87d2cedc65a47e9dbd31,cust_d5f444e4d2b4de3d10e16600,delivered,2023-03-27 00:34:37.715810,2023-03-27 18:34:37.715810,2023-03-29 18:34:37.715810,2023-04-06 18:34:37.715810,2023-04-11 18:34:37.715810
ord_245e2fd1d89f24ce99a5004d,cust_83fec54c0981bb1460ab1ecc,delivered,2022-11-25 10:48:49.859298,2022-11-26 05:48:49.859298,2022-11-29 05:48:49.859298,2022-12-06 05:48:49.859298,2022-12-06 05:48:49.859298
ord_d9b1ebe251998a245a16d0ef,cust_5cbe78884c5a9dfb0f063bef,delivered,2022-04-25 10:54:46.644015,2022-04-27 02:54:46.644015,2022-04-30 02:54:46.644015,2022-05-01 02:54:46.644015,2022-05-07 02:54:46.644015
ord_88004129609321d4244e0056,cust_62ddce33b9474b81f80df96a,delivered,2022-09-16 14:52:01.432309,2022-09-16 23:52:01.432309,2022-09-18 23:52:01.432309,2022-09-19 23:52:01.432309,2022-09-23 23:52:01.432309
ord_2b35a51a1bbc9644a12e77dc,cust_1bb3d0e3013947dfa6e0bf41,delivered,2023-02-05 16:56:37.074494,2023-02-07 08:56:37.074494,2023-02-10 08:56:37.074494,2023-02-17 08:56:37.074494,2023-02-13 08:56:37.074494
ord_a0b602d4d64564226f607008,cust_c7a739d1bab33aa58b3ed3bf,delivered,2023-04-29 01:45:26.234993,2023-04-29 20:45:26.234993,2023-04-30 20:45:26.234993,2023-05-06 20:45:26.234993,2023-05-12 20:45:26.234993
ord_84501a29488adaeb3376c2f7,cust_57477a9c2bdc175749e83d72,delivered,2023-10-23 05:56:01.452439,2023-10-23 18:56:01.452439,2023-10-24 18:56:01.452439,2023-10-29 18:56:01.452439,2023-10-28 18:56:01.452439
ord_0ea853f562860c2b1995d88e,cust_9a991d2d14a270a87f4650e7,delivered,2023-05-11 01:13:10.412117,2023-05-12 18:13:10.412117,2023-05-14 18:13:10.412117,2023-05-22 18:13:10.412117,2023-05-22 18:13:10.412117
ord_19549d9678e9116aeb44fdd8,cust_cd7cab6ed642f7c63bd41988,delivered,2023-12-21 05:37:14.591162,2023-12-21 13:37:14.591162,2023-12-22 13:37:14.591162,2023-12-23 13:37:14.591162,2024-01-01 13:37:14.591162
ord_d03a6ab982b6ca45cb7d6b10,cust_2587881ef198e725421cd56d,delivered,2023-08-01 03:44:55.856639,2023-08-01 08:44:55.856639,2023-08-02 08:44:55.856639,2023-08-12 08:44:55.856639,2023-08-08 08:44:55.856639
ord_cd68f681a557a25a793da73c,cust_e9d320dbb2c0a6e672729fbb,delivered,2022-07-06 19:50:14.807800,2022-07-07 04:50:14.807800,2022-07-08 04:50:14.807800,2022-07-15 04:50:14.807800,2022-07-20 04:50:14.807800
ord_bbe781e3d3161e41f929a972,cust_aeca0253856998d5616c0280,delivered,2023-05-09 06:18:34.566260,2023-05-10 20:18:34.566260,2023-05-12 20:18:34.566260,2023-05-17 20:18:34.566260,2023-05-20 20:18:34.566260
ord_4b1bbb0df90dc2cecfa46d53,cust_04045fe4c7fad913ce861063,delivered,2023-02-14 06:17:23.806936,2023-02-14 19:17:23.806936,2023-02-16 19:17:23.806936,2023-02-18 19:17:23.806936,2023-02-23 19:17:23.806936
ord_3862f75a36ead092168a5955,cust_54c687bd651238a13f5c7097,delivered,2023-09-30 21:36:56.151587,2023-10-01 13:36:56.151587,2023-10-02 13:36:56.151587,2023-10-03 13:36:56.151587,2023-10-10 13:36:56.151587
ord_9f1c4ee12b1cbae6c9219f3f,cust_fe98ea19fddfdd5515bda7b0,delivered,2023-02-04 19:19:23.425918,2023-02-05 01:19:23.425918,2023-02-08 01:19:23.425918,2023-02-11 01:19:23.425918,2023-02-17 01:19:23.425918
ord_33df458e8802e366ac86673d,cust_ed811948465248ed675b1c51,delivered,2023-04-11 06:41:44.646232,2023-04-12 01:41:44.646232,2023-04-13 01:41:44.646232,2023-04-15 01:41:44.646232,2023-04-19 01:41:44.646232
ord_2c0b7bfdb31c5a3da4c30507,cust_890b0c1ff4136b5594f361d5,delivered,2023-08-23 23:56:35.818573,2023-08-25 02:56:35.818573,2023-08-27 02:56:35.818573,2023-09-03 02:56:35.818573,2023-09-04 02:56:35.818573
ord_bfd24b564de84a1f19513d4a,cust_9462dbe1edf76696d7c9aa8b,delivered,2023-03-05 22:59:36.909456,2023-03-06 01:59:36.909456,2023-03-07 01:59:36.909456,2023-03-11 01:59:36.909456,2023-03-14 01:59:36.909456
ord_74216ca53032ee307603482c,cust_cae4a7fd9d792f8ff5920093,delivered,2023-12-24 15:57:10.513520,2023-12-24 21:57:10.513520,2023-12-26 21:57:10.513520,2024-01-01 21:57:10.513520,2024-01-03 21:57:10.513520
ord_d0c522670235646bb1d97d0e,cust_107550de0b3f94609de91ae2,delivered,2023-07-09 04:21:15.343102,2023-07-09 06:21:15.343102,2023-07-11 06:21:15.343102,2023-07-14 06:21:15.343102,2023-07-18 06:21:15.343102
ord_dae2fe8ba13b76f7996fdd74,cust_964aa18d585e58e14c355e61,delivered,2023-06-18 02:35:02.469997,2023-06-18 23:35:02.469997,2023-06-20 23:35:02.469997,2023-06-26 23:35:02.469997,2023-06-25 23:35:02.469997
ord_aa7d29b3ded07b32db71a5f8,cust_b9b70d3d4b951d08c2273794,delivered,2023-01-14 13:08:00.337462,2023-01-15 19:08:00.337462,2023-01-16 19:08:00.337462,2023-01-17 19:08:00.337462,2023-01-30 19:08:00.337462
ord_bbe7a2fb2015df81c3ce11ac,cust_2b998e2f064dea9eb4f82caf,delivered,2022-02-22 06:20:57.500292,2022-02-22 22:20:57.500292,2022-02-24 22:20:57.500292,2022-03-04 22:20:57.500292,2022-02-27 22:20:57.500292
ord_53b4fd1b1577fefc0f9b0101,cust_b629d8263a2d276e3a192edc,delivered,2022-11-20 02:08:28.968940,2022-11-21 08:08:28.968940,2022-11-24 08:08:28.968940,2022-11-30 08:08:28.968940,2022-11-27 08:08:28.968940
ord_ab749742456e1d1e56f4508f,cust_51fea33c9c406ed682502b29,delivered,2023-03-13 03:17:46.825849,2023-03-13 04:17:46.825849,2023-03-14 04:17:46.825849,2023-03-20 04:17:46.825849,2023-03-28 04:17:46.825849
ord_58a456ec9c3e802d6dfbf838,cust_7d483acb0b5b746851144a05,delivered,2022-12-27 04:55:20.713006,2022-12-28 08:55:20.713006,2022-12-31 08:55:20.713006,2023-01-08 08:55:20.713006,2023-01-02 08:55:20.713006
ord_75e88859aa867b606a4f0ec4,cust_8bc9b45c2c944ca1f3bf2e1a,delivered,2022-02-16 08:37:38.849704,2022-02-17 12:37:38.849704,2022-02-20 12:37:38.849704,2022-02-21 12:37:38.849704,2022-02-27 12:37:38.849704
ord_2314db9e7e32293e66df0c00,cust_e3b1e3728d543dae679bf020,processing,2023-08-04 12:32:09.132520,2023-08-05 18:32:09.132520,,,2023-08-11 18:32:09.132520
ord_ad27b40f3fa81f1043391c0f,cust_bdefa61d98974e316ae26744,delivered,2023-09-17 02:02:46.686061,2023-09-17 07:02:46.686061,2023-09-18 07:02:46.686061,2023-09-20 07:02:46.686061,2023-09-30 07:02:46.686061
ord_d58080b07f969d862ba41c82,cust_91ccb2ab70d548375608ca21,delivered,2022-04-26 12:40:37.383203,2022-04-26 18:40:37.383203,2022-04-28 18:40:37.383203,2022-05-06 18:40:37.383203,2022-05-10 18:40:37.383203
ord_11b7101429ffaf846cef58e1,cust_153bead30dd6bdbed2bc0f0d,delivered,2023-11-04 05:55:46.725993,2023-11-04 17:55:46.725993,2023-11-05 17:55:46.725993,2023-11-11 17:55:46.725993,2023-11-12 17:55:46.725993
ord_f52a0f5eb8c3d857af5b132a,cust_fa4e10cffc16136407733fcd,delivered,2022-04-05 03:01:43.456028,2022-04-06 16:01:43.456028,2022-04-07 16:01:43.456028,2022-04-11 16:01:43.456028,2022-04-11 16:01:43.456028
ord_f41d5ffde26413b3009f3640,cust_73e4ba680de5b64cbd592f64,delivered,2022-08-19 17:09:19.990560,2022-08-21 10:09:19.990560,2022-08-23 10:09:19.990560,2022-08-28 10:09:19.990560,2022-09-03 10:09:19.990560
ord_60f755a665624d9aea8512bb,cust_b30082bf95184109bf838375,delivered,2022-02-23 14:42:20.352536,2022-02-24 09:42:20.352536,2022-02-27 09:42:20.352536,2022-03-09 09:42:20.352536,2022-03-06 09:42:20.352536
ord_ec5b769ee1a786d665a074ee,cust_e4df2b09599c171da0ed507c,delivered,2023-05-24 00:40:10.180567,2023-05-24 06:40:10.180567,2023-05-26 06:40:10.180567,2023-06-01 06:40:10.180567,2023-06-05 06:40:10.180567
ord_4f39f4166b4c8781fadddfb9,cust_2e3fe5afce5a497897564f28,delivered,2023-10-03 07:14:35.026971,2023-10-03 11:14:35.026971,2023-10-05 11:14:35.026971,2023-10-15 11:14:35.026971,2023-10-12 11:14:35.026971
ord_db6bd0e3f633a1a49703d670,cust_9e677c13d0ef397feec05512,delivered,2023-10-02 21:21:22.623405,2023-10-03 10:21:22.623405,2023-10-04 10:21:22.623405,2023-10-06 10:21:22.623405,2023-10-16 10:21:22.623405
ord_2d03027109bc0c260b9d413e,cust_9a6438096cd7eea570aa8d33,delivered,2023-02-17 03:10:33.678251,2023-02-17 18:10:33.678251,2023-02-18 18:10:33.678251,2023-02-21 18:10:33.678251,2023-02-26 18:10:33.678251
ord_e2fa5098586e91fb4c68a4bc,cust_457f2ca235f2eebfdf8a5d5a,delivered,2023-11-27 03:16:29.195130,2023-11-27 15:16:29.195130,2023-11-29 15:16:29.195130,2023-12-04 15:16:29.195130,2023-12-08 15:16:29.195130
ord_6a79f81790c7979b63008904,cust_8b2ecdec41d71bc656cedd86,shipped,2023-01-01 04:26:41.406198,2023-01-02 14:26:41.406198,2023-01-04 14:26:41.406198,,2023-01-17 14:26:41.406198
ord_740a1408cca52982beb63a2a,cust_911f2a64372537d809af75b0,delivered,2022-10-17 00:18:11.607337,2022-10-18 20:18:11.607337,2022-10-20 20:18:11.607337,2022-10-22 20:18:11.607337,2022-11-01 20:18:11.607337
ord_92ea1bed36b35e8e10251206,cust_055c7276e2b13176bff5a50f,delivered,2022-06-04 09:39:44.953490,2022-06-04 19:39:44.953490,2022-06-07 19:39:44.953490,2022-06-08 19:39:44.953490,2022-06-13 19:39:44.953490
ord_4d14919403f8b2773a7765e7,cust_26d4486bff65a759cef49547,delivered,2023-11-10 22:03:29.857628,2023-11-11 03:03:29.857628,2023-11-14 03:03:29.857628,2023-11-16 03:03:29.857628,2023-11-21 03:03:29.857628
ord_44dd7eca1ea2d5f823b8c1c1,cust_c473a3dabfa4b52c7004f23a,delivered,2022-06-22 00:14:10.037157,2022-06-23 22:14:10.037157,2022-06-25 22:14:10.037157,2022-07-04 22:14:10.037157,2022-07-06 22:14:10.037157
ord_4d8346d53d7ffc0e40470793,cust_8bb4d89ad11d67525b158f08,delivered,2023-07-24 16:21:13.594323,2023-07-24 19:21:13.594323,2023-07-26 19:21:13.594323,2023-07-28 19:21:13.594323,2023-07-29 19:21:13.594323
ord_2fa4de43fde221bb27c49b54,cust_fa1e1d1917564fabb606637e,delivered,2023-10-26 01:35:59.379869,2023-10-27 16:35:59.379869,2023-10-28 16:35:59.379869,2023-11-01 16:35:59.379869,2023-11-05 16:35:59.379869
ord_1b3db8e2236b05a00691e761,cust_8a117ed9c0f05ff3281b2351,delivered,2023-03-13 00:26:25.288976,2023-03-14 02:26:25.288976,2023-03-16 02:26:25.288976,2023-03-20 02:26:25.288976,2023-03-22 02:26:25.288976
ord_068c47bf3459768dc5e65581,cust_5dfe3426bd6bd1b0056c691f,delivered,2022-02-27 23:11:33.940121,2022-02-28 12:11:33.940121,2022-03-01 12:11:33.940121,2022-03-02 12:11:33.940121,2022-03-10 12:11:33.940121
ord_ef91593e7df669951d8aa527,cust_6cf455f3be4d453a15cd2442,delivered,2022-08-06 16:38:58.847389,2022-08-08 14:38:58.847389,2022-08-10 14:38:58.847389,2022-08-15 14:38:58.847389,2022-08-16 14:38:58.847389
ord_a33765478592e9d295977faf,cust_7284182689d2615965f03ce2,delivered,2023-02-26 02:27:51.644403,2023-02-27 23:27:51.644403,2023-02-28 23:27:51.644403,2023-03-01 23:27:51.644403,2023-03-13 23:27:51.644403
ord_3fe282e815c1c660c36d689d,cust_f2d48134bd3aa5154966849d,delivered,2023-10-15 05:18:39.535930,2023-10-16 00:18:39.535930,2023-10-17 00:18:39.535930,2023-10-24 00:18:39.535930,2023-10-25 00:18:39.535930
ord_4418fde4e5056393ed124ec7,cust_8f35063d75301de6b976dcdb,delivered,2023-05-23 03:23:24.472743,2023-05-23 18:23:24.472743,2023-05-25 18:23:24.472743,2023-06-02 18:23:24.472743,2023-05-28 18:23:24.472743
ord_3b4383abc9c28db8c1ecb025,cust_1e288efc465b1859a4c6a019,delivered,2023-11-27 01:33:53.732068,2023-11-28 19:33:53.732068,2023-11-29 19:33:53.732068,2023-12-01 19:33:53.732068,2023-12-10 19:33:53.732068
ord_461b355ab17599e164ff29de,cust_950c79830234396b5db76e52,delivered,2023-09-03 00:38:05.931347,2023-09-05 00:38:05.931347,2023-09-07 00:38:05.931347,2023-09-15 00:38:05.931347,2023-09-10 00:38:05.931347
ord_a4945fd471e159147638e879,cust_5152da2a0e5ac9e10bc0fa53,canceled,2023-08-18 17:54:16.458605,2023-08-19 05:54:16.458605,,,2023-08-29 05:54:16.458605
ord_bbe38a3c7ad2a866ea58128b,cust_c3fccd7761739f31a22ae878,delivered,2022-12-16 22:59:29.237725,2022-12-18 20:59:29.237725,2022-12-21 20:59:29.237725,2022-12-31 20:59:29.237725,2022-12-25 20:59:29.237725
ord_bff4e9ae870314d6d38d3c58,cust_8df91de9be7422732aaf6292,delivered,2023-11-26 10:59:17.231011,2023-11-28 06:59:17.231011,2023-11-29 06:59:17.231011,2023-12-03 06:59:17.231011,2023-12-13 06:59:17.231011
ord_99bf5b0f00f39864c4d637d0,cust_eccb35e043e810acc47937a6,delivered,2022-12-29 13:52:08.405543,2022-12-31 02:52:08.405543,2023-01-03 02:52:08.405543,2023-01-11 02:52:08.405543,2023-01-06 02:52:08.405543
ord_e6b2e4c08fddcbcdcbfb0353,cust_a8cb08fb0d7e7c944c804578,delivered,2023-09-24 09:26:10.534862,2023-09-26 03:26:10.534862,2023-09-29 03:26:10.534862,2023-10-05 03:26:10.534862,2023-10-07 03:26:10.534862
ord_300f33e3d5a590802cf9de5c,cust_d843942fa4b08ef1dd123191,delivered,2023-02-22 13:12:54.182585,2023-02-23 23:12:54.182585,2023-02-24 23:12:54.182585,2023-03-04 23:12:54.182585,2023-03-06 23:12:54.182585
ord_29b9c1a32c1688749ff92c1e,cust_64d031b9fd667e0f3cf08730,delivered,2023-07-25 04:35:29.757180,2023-07-26 19:35:29.757180,2023-07-28 19:35:29.757180,2023-08-03 19:35:29.757180,2023-07-31 19:35:29.757180
ord_7075695a298e275e48cfa18d,cust_10c7041da34c2a82211985c4,delivered,2022-03-30 03:30:55.149225,2022-03-31 02:30:55.149225,2022-04-03 02:30:55.149225,2022-04-05 02:30:55.149225,2022-04-12 02:30:55.149225
ord_6d29e17eaceda46b7dc03c99,cust_7d7deb52cc5c445af403a2d0,delivered,2022-01-27 17:08:59.811042,2022-01-29 17:08:59.811042,2022-01-30 17:08:59.811042,2022-02-09 17:08:59.811042,2022-02-06 17:08:59.811042
ord_a9017ee7a408e6d99d0c255f,cust_12ce96d195b12bf9bcf74ffd,shipped,2022-11-19 04:31:52.442800,2022-11-21 01:31:52.442800,2022-11-22 01:31:52.442800,,2022-11-26 01:31:52.442800
ord_4b868b6fe2f69264318b92f1,cust_87b8284855b5d4082e678756,delivered,2023-04-03 20:37:47.613114,2023-04-05 16:37:47.613114,2023-04-07 16:37:47.613114,2023-04-13 16:37:47.613114,2023-04-19 16:37:47.613114
ord_6996632c647e2cdeae9f806a,cust_e684d8a3cf6df0403dc2ce3c,delivered,2022-05-12 06:57:40.552518,2022-05-12 12:57:40.552518,2022-05-14 12:57:40.552518,2022-05-24 12:57:40.552518,2022-05-25 12:57:40.552518
ord_8cea67cd2680a60deb2f25ec,cust_a6ab7611f9c753d13606dc73,delivered,2022-07-03 11:50:13.139998,2022-07-04 03:50:13.139998,2022-07-07 03:50:13.139998,2022-07-09 03:50:13.139998,2022-07-16 03:50:13.139998
ord_78c7a30626b45af62070c43f,cust_93073a1476ffab09f14aeb52,delivered,2023-12-26 19:17:38.600516,2023-12-28 09:17:38.600516,2023-12-29 09:17:38.600516,2024-01-05 09:17:38.600516,2024-01-06 09:17:38.600516
ord_f86cebe138160717a9a3f6b1,cust_b76ec6fc4b500b5c9962afee,delivered,2022-08-21 20:25:29.111773,2022-08-23 04:25:29.111773,2022-08-24 04:25:29.111773,2022-09-02 04:25:29.111773,2022-09-06 04:25:29.111773
ord_faa365e466f9c7523a588861,cust_7121ed167f05ee05445dab52,delivered,2022-12-03 10:55:31.142177,2022-12-04 03:55:31.142177,2022-12-07 03:55:31.142177,2022-12-12 03:55:31.142177,2022-12-09 03:55:31.142177
ord_73f4e93d68e379b5b0113bee,cust_e0a1935d5b117e2efa3d53c8,delivered,2022-05-17 05:47:28.447658,2022-05-18 06:47:28.447658,2022-05-20 06:47:28.447658,2022-05-25 06:47:28.447658,2022-05-28 06:47:28.447658
ord_84c77e2294de8287767a41ec,cust_4594e6d2d0b75a7616b880e2,delivered,2022-02-19 22:37:03.183171,2022-02-21 22:37:03.183171,2022-02-23 22:37:03.183171,2022-03-05 22:37:03.183171,2022-03-01 22:37:03.183171
ord_c98d70ada96b002d9554177f,cust_7f60f1c084360221f4e6ec5c,delivered,2022-06-14 04:25:38.308175,2022-06-15 04:25:38.308175,2022-06-17 04:25:38.308175,2022-06-18 04:25:38.308175,2022-06-30 04:25:38.308175
