order_id,payment_sequential,payment_type,payment_installments,payment_value
ord_0114bd2dc216e87b2670b47a,2,credit_card,3,158.62
ord_0114bd2dc216e87b2670b47a,3,credit_card,3,158.63
ord_011aa2c67a1561112496da40,1,credit_card,1,631.94
ord_012a145096f0e7b50e20920d,1,credit_card,1,369.74
ord_012fe85ee4033ccc3776db5f,1,credit_card,1,99.01
ord_01318b7f1a5819d998584a78,1,debit_card,1,1448.72
ord_013507205cd859e8fc8497d8,1,credit_card,2,137.9
ord_013507205cd859e8fc8497d8,2,paypal,1,137.91
ord_0136ec89ec6aee5aa03c0c57,1,debit_card,1,54.48
ord_0142eb6af7800fcc5a9d11c6,1,credit_card,1,42.56
ord_01449b660047ec685edff414,1,debit_card,1,1411.54
ord_014fe38c3c567afb6a6bf5c6,1,debit_card,1,2576.65
ord_015077937257d723ee440c29,1,credit_card,1,64.66
ord_01532e1e573f9184d4208d34,1,paypal,1,1094.26
ord_015b9ee3d0fd3eda00b4ccd1,1,credit_card,1,489.01
ord_0165ce9d74896316c4b84cb4,1,credit_card,1,768.93
ord_0165d244cf770d6c0c6452d0,1,credit_card,1,1545.25
ord_01664cfee41a6be847d77ba6,1,credit_card,1,231.02
ord_016860936b9490b1f730e0ce,1,credit_card,2,720.68
ord_016860936b9490b1f730e0ce,2,credit_card,2,720.67
ord_0168765e760074454801455c,1,credit_card,1,95.53
ord_016ae3733e14eb01e79b25cf,1,credit_card,1,119.42
ord_017641102be856c683e5b37e,1,credit_card,1,367.57
ord_0176ad6ad0d461d3b19a5539,1,paypal,1,207.32
ord_017cca2d732858e55f71437b,1,credit_card,2,189.99
ord_017cca2d732858e55f71437b,2,credit_card,2,189.99
ord_018967f2ae7b5682cfe371e6,1,debit_card,1,1846.01
ord_018dd092d4cb21ac431bd66e,1,credit_card,1,421.01
ord_019427e9ce234d89165b50ab,1,debit_card,1,105.31
ord_01998ab1ca6eb5c05f43e8ba,1,debit_card,1,197.98
ord_01998ab1ca6eb5c05f43e8ba,2,debit_card,1,197.97
ord_01a3fbe6fc413fb2f580929d,1,gift_card,1,1307.97
ord_01a3fbe6fc413fb2f580929d,2,credit_card,2,1307.97
ord_01a4891836916a8acdb5cb6b,1,credit_card,1,535.01
ord_01a73bf77e00421591899e18,1,credit_card,1,583.49
ord_01aa4761007975f72d049414,1,debit_card,1,98.75
ord_01b6b52c14839701b19bbfb2,1,credit_card,1,360.17
ord_01c19fcb623edcbb42598646,1,credit_card,1,565.31
ord_01c398d83763aa652f606333,1,credit_card,1,92.11
ord_01c5add90957189ae9a8f3cd,1,credit_card,1,264.61
ord_01cbf485ac475bba8b37781f,1,credit_card,1,173.55
ord_01d2c1d97106ce29c85d08bb,1,paypal,1,2134.39
ord_01e0e3a3f4b1615827c2f273,1,debit_card,1,240.02
ord_01e1df433688beb8da0724f1,1,credit_card,1,447.13
ord_01e6e90eaa3a53f25eeb544d,1,credit_card,1,1184.41
ord_01ea5635a6a8f646694fb174,1,debit_card,1,401.67
ord_01eaec9c12a9b283cb4c4458,1,credit_card,1,1934.5
ord_01f00996aa42d7338da7bd69,1,credit_card,1,154.51
ord_01f60199de36ffba6915d1cb,1,credit_card,2,1282.62
ord_01f60199de36ffba6915d1cb,2,credit_card,2,1282.61
ord_01ffeabb7b8f37f3cd44c02c,1,credit_card,3,232.3
ord_01ffeabb7b8f37f3cd44c02c,2,debit_card,1,232.3
ord_01ffeabb7b8f37f3cd44c02c,3,debit_card,1,232.3
ord_020edcf0da19475662ae4d18,1,credit_card,1,383.86
ord_02143b0a963c57565564374c,1,apple_pay,1,1273.72
ord_02143b0a963c57565564374c,2,credit_card,2,1273.72
ord_02182d55f9f03ea3f1eb8830,1,credit_card,1,282.75
ord_0219af469b137902c784da33,1,credit_card,1,432.28
ord_0219c37dd848bc5fa75ffa20,1,credit_card,1,1324.25
ord_022b6c70a5fdd8c362ae3587,1,apple_pay,1,185.51
ord_022de02b73598675f7b659da,1,credit_card,1,422.6
ord_022e4511cc8a43673ffffdb6,1,debit_card,1,71.04
ord_0230db7eb3d011ee24be05aa,1,debit_card,1,903.91
ord_024144a3e935ab3069f157e5,1,debit_card,1,272.08
ord_02441fd51e7b411356361137,1,credit_card,1,34.54
ord_024b6a53242c76e5d35dbea5,1,credit_card,2,200.7
ord_024b6a53242c76e5d35dbea5,2,credit_card,2,200.7
ord_02535113afe91fda70464785,1,credit_card,1,207.22
ord_02674450a17057b8b5315170,1,credit_card,3,91.04
ord_02674450a17057b8b5315170,2,apple_pay,1,91.04
ord_02674450a17057b8b5315170,3,credit_card,3,91.03
ord_02809adb1382ed08eb3e5560,1,buy_now_pay_later,1,38.78
ord_0281033dcd7aa1c67fd08580,1,credit_card,2,125.39
ord_0281033dcd7aa1c67fd08580,2,credit_card,2,125.39
ord_0289f0b68460a6ac6fe0e814,1,credit_card,1,697.77
ord_028bfde96918cfd333b0a5f2,1,debit_card,1,813.71
ord_028bfde96918cfd333b0a5f2,2,paypal,1,813.72
ord_028d89d1599f74e77aab44e3,1,credit_card,1,48.44
ord_02a3da8b6f163262d8061a13,1,credit_card,1,2116.89
ord_02a7917df8e9b5ce46ac67fb,1,credit_card,1,1696.4
ord_02ac005f7164472f74d3b5ef,1,credit_card,1,185.71
ord_02af70c8fe10ad0402923574,1,credit_card,1,680.6
ord_02b1ff3fcf4bde51a4e8ed76,1,credit_card,1,254.28
ord_02b68bab4eb2e659c0dc3cbc,1,credit_card,1,188.56
ord_02b828b699522b76a0bd916f,1,credit_card,1,18.7
ord_02c218162df95589b61e1613,1,credit_card,1,75.83
ord_02d00c70ffe8557a05ec90db,1,credit_card,1,22.95
ord_02d27d10d1e218d400876cf5,1,paypal,1,714.68
ord_02dcc8207988183412b82cb0,1,paypal,1,38.47
ord_02dcc8207988183412b82cb0,2,debit_card,1,38.47
ord_02dcc8207988183412b82cb0,3,apple_pay,1,38.48
ord_02e7faf7438d2960c3021261,1,credit_card,3,936.67
ord_02e7faf7438d2960c3021261,2,credit_card,3,936.67
ord_02e7faf7438d2960c3021261,3,debit_card,1,936.68
ord_02f1e4fbd5b2ffe9f852e3e8,1,paypal,1,347.99
ord_02f24404bb036dc2593ec66c,1,credit_card,3,21.19
ord_02f24404bb036dc2593ec66c,2,credit_card,3,21.19
ord_02f24404bb036dc2593ec66c,3,credit_card,3,21.2
ord_02f60399923aa57faaae4a6d,1,debit_card,1,54.08
ord_030a26367ca8c8463754923a,1,debit_card,1,240.81
ord_0316d66eb4aa9d99d99198f9,1,credit_card,1,2191.34
ord_03174754522ede8123441ae7,1,paypal,1,46.82
ord_03174754522ede8123441ae7,2,credit_card,3,46.82
ord_03174754522ede8123441ae7,3,apple_pay,1,46.81
ord_032f160acd5b3f5342b9d2a2,1,credit_card,1,316.54
ord_0330f91ca719958fa9f386e5,1,credit_card,1,842.2
ord_03390e73dad329775d9a2bad,1,paypal,1,100.16
ord_0344d3d973cfceb40426b45f,1,credit_card,1,135.0
ord_03487879e62d599bbf87c7e4,1,apple_pay,1,87.91
ord_034e8e5cd9b230edc6e89522,1,debit_card,1,24.16
ord_0351515bca881662bb2ed0f7,1,credit_card,3,519.35
ord_0351515bca881662bb2ed0f7,2,paypal,1,519.35
ord_0351515bca881662bb2ed0f7,3,debit_card,1,519.34
ord_035d22fedc6acd213b286bf6,1,credit_card,1,82.69
ord_035f292c72784287c38aac30,1,credit_card,3,45.56
ord_035f292c72784287c38aac30,2,debit_card,1,45.56
ord_035f292c72784287c38aac30,3,credit_card,3,45.57
ord_036013911903ad4f0cd2398d,1,debit_card,1,305.49
ord_036514a13049c640e99c344b,1,debit_card,1,110.86
ord_03685de234c3bdb75a35572b,1,debit_card,1,733.1
ord_03703182cb96eee6027e8f4d,1,credit_card,1,101.4
ord_037567c252789682d4d99a63,1,paypal,1,456.8
ord_03771185bc8fbfe05d7cb990,1,paypal,1,2767.19
ord_037fcd657bf594cd7b135418,1,credit_card,3,273.11
ord_037fcd657bf594cd7b135418,2,debit_card,1,273.11
ord_037fcd657bf594cd7b135418,3,debit_card,1,273.1
ord_03804e9a7941fd16dddaad6a,1,credit_card,1,1758.83
ord_0380a32483e535ee0fce3a63,1,credit_card,2,533.46
ord_0380a32483e535ee0fce3a63,2,apple_pay,1,533.47
ord_0387867869c3b2acdd857248,1,credit_card,1,17.64
ord_0388a93364de621ac87ab7e9,1,credit_card,1,295.89
ord_038a8ef5d1137fbce93ec4ba,1,credit_card,2,38.98
ord_038a8ef5d1137fbce93ec4ba,2,credit_card,2,38.99
ord_038e4853a4d61feeb0a020e0,1,credit_card,1,278.31
ord_03950b5a871886488b688adf,1,credit_card,1,759.33
ord_0395ff330362b500cc59444b,1,credit_card,1,743.2
ord_0399b8d5383ddf10f38740f5,1,credit_card,1,778.04
ord_039a8486d73646372671d7f7,1,credit_card,1,79.55
ord_039f2a9bba0397cd7a78eef4,1,debit_card,1,101.9
ord_03a3eca049af58e9b0ab0fdf,1,debit_card,1,682.57
ord_03a3eca049af58e9b0ab0fdf,2,credit_card,2,682.57
ord_03a85e47bc53c8e25d291991,1,paypal,1,662.65
ord_03b35a16149e391d949cb179,1,credit_card,1,98.94
ord_03b3ef0bb124985d9210e547,1,credit_card,1,123.55
ord_03b692540e55a777ccc8507c,1,debit_card,1,2065.22
ord_03b9d82f8630891666e56190,1,credit_card,1,1434.75
ord_03bcdcaef8d024e1c6149aca,1,credit_card,1,150.01
ord_03c1277dc36384f5cdab39d2,1,credit_card,4,252.32
ord_03c1277dc36384f5cdab39d2,2,credit_card,4,252.32
ord_03c1277dc36384f5cdab39d2,3,credit_card,4,252.32
ord_03c1277dc36384f5cdab39d2,4,credit_card,4,252.31
ord_03c42c6a1ca65c3ab058be96,1,credit_card,2,497.2
ord_03c42c6a1ca65c3ab058be96,2,credit_card,2,497.21
ord_03d25d9550a136c5c8aa0414,1,debit_card,1,195.22
ord_03d2d16da881d23cb4430a2b,1,credit_card,1,698.08
ord_03d7904b82dd18fd133cd7c7,1,credit_card,1,58.52
ord_03dfd453d66571ac4de1b9ef,1,credit_card,1,91.16
ord_03f0830b734a9b9824049299,1,credit_card,1,1507.69
ord_04171debcf8a25b63bb4623e,1,credit_card,1,672.4
ord_0419478980aa5d5ae95f48bb,1,credit_card,1,1352.55
ord_041d4e4a39c103007d291c5c,1,debit_card,1,103.54
ord_041d4e4a39c103007d291c5c,2,credit_card,2,103.53
ord_042c07ee0e485925899c0ffb,1,credit_card,1,344.67
ord_042cb62fb336668e1b72b8ed,1,credit_card,2,43.22
ord_042cb62fb336668e1b72b8ed,2,credit_card,2,43.21
ord_04494fce9c15ca5bca4a3af5,1,credit_card,2,729.2
ord_04494fce9c15ca5bca4a3af5,2,paypal,1,729.2
ord_044eafd1289e40690adce8c8,1,gift_card,1,1459.65
ord_045535a53da6b12a853e9d7c,1,credit_card,1,1914.54
ord_045721e1e329d7eed47fdcfd,1,credit_card,1,982.6
ord_04619dad3b5172f23afc2656,1,credit_card,2,741.14
ord_04619dad3b5172f23afc2656,2,credit_card,2,741.14
ord_0463a835d21becfa7cc15f40,1,paypal,1,125.32
ord_0467319fb416c58f69ceaf50,1,credit_card,1,64.68
ord_046d35641165c84f01f65f6c,1,credit_card,1,876.45
ord_047138690f295eada31f81a6,1,debit_card,1,112.06
ord_04714f6ba5914683ba0ebdf7,1,paypal,1,95.4
ord_04714f6ba5914683ba0ebdf7,2,debit_card,1,95.41
ord_04734fe2dcd5c86f3d9f178b,1,credit_card,1,64.42
ord_04826a930f40067a248bedb7,1,credit_card,1,637.35
ord_0485a1dc05a05e9394f3c854,1,credit_card,1,34.07
ord_04975a142db053a68f6bf620,1,credit_card,1,1966.5
ord_04977aa50da5d8ec8b83896c,1,credit_card,1,1234.05
ord_04980cbb7e88ec3ea308fd28,1,credit_card,2,571.42
ord_04980cbb7e88ec3ea308fd28,2,credit_card,2,571.42
ord_049ef946351d5a9e765cea47,1,credit_card,1,69.65
ord_04a35fc39c68ee7ea045540e,1,credit_card,1,581.84
ord_04a45ba5c76b5c3d5ad0f05c,1,paypal,1,362.6
ord_04a4c8fff8a5c1d6225927df,1,credit_card,2,242.32
ord_04a4c8fff8a5c1d6225927df,2,credit_card,2,242.31
ord_04a583016234833414ff8a2c,1,credit_card,1,90.63
ord_04a63f18ac18f1571e2fc10e,1,credit_card,2,1774.26
ord_04a63f18ac18f1571e2fc10e,2,credit_card,2,1774.25
ord_04af446580da6a11f1ba8506,1,credit_card,1,1609.86
ord_04b0cd05aeacf92393a0ed7d,1,credit_card,3,228.52
ord_04b0cd05aeacf92393a0ed7d,2,apple_pay,1,228.52
ord_04b0cd05aeacf92393a0ed7d,3,debit_card,1,228.51
ord_04b3e90775aac0f42ca9fa94,1,debit_card,1,1812.64
ord_04cc07b85ef0c594e1ab9d7e,1,credit_card,1,388.94
ord_04d16d9bd1b63e711b74cf71,1,credit_card,1,284.03
ord_04d9d7774f0a9e3fe092ff17,1,paypal,1,289.48
ord_04ddecee5385d4c830b52199,1,credit_card,1,979.51
ord_04e2cc8096bd6afa9e801b97,1,debit_card,1,97.99
ord_04eb9c6587bdf01de011fbc3,1,credit_card,1,2043.32
ord_04ee14ffa3865fe9758f348a,1,debit_card,1,1153.88
ord_04f52a310002053b48e6a79f,1,credit_card,2,315.65
ord_04f52a310002053b48e6a79f,2,credit_card,2,315.66
ord_0500e0f4ad2d84a158a75a29,1,paypal,1,3762.69
ord_05011d8855a77a2135dbcbf0,1,credit_card,2,1037.88
ord_05011d8855a77a2135dbcbf0,2,debit_card,1,1037.87
ord_0501f862fc9b0be56482904f,1,credit_card,1,2052.64
ord_0507adf256884d64ec859438,1,buy_now_pay_later,1,1434.36
ord_050a02c3e1e89a8026fe18a7,1,debit_card,1,82.02
ord_050a02c3e1e89a8026fe18a7,2,paypal,1,82.02
ord_050a4c37b25fb4a92377d1bb,1,debit_card,1,4.94
ord_050a4c37b25fb4a92377d1bb,2,credit_card,2,4.94
ord_051253dc6a847f6462ca0193,1,credit_card,1,1313.18
ord_051319f9e2197ac193693fd9,1,debit_card,1,192.74
ord_0517c1e9ae99ab18ed14c261,1,paypal,1,1030.56
ord_0519508f3677180540858a57,1,credit_card,1,57.5
ord_051d38d0cccb1e69a219ee2e,1,credit_card,2,782.95
ord_051d38d0cccb1e69a219ee2e,2,credit_card,2,782.95
ord_051e77bb2fc9ec470d254bd2,1,credit_card,1,573.23
ord_0523042f6a77f7c171cb5163,1,credit_card,1,1453.49
ord_052af67500150e7af598aa5f,1,credit_card,1,2545.93
ord_053c73dce16e3db68d7ea8de,1,debit_card,1,1037.9
ord_05451c352e0faed1100363b8,1,credit_card,1,87.74
ord_0548637571c631ef2be91670,1,credit_card,3,61.57
ord_0548637571c631ef2be91670,2,credit_card,3,61.57
ord_0548637571c631ef2be91670,3,credit_card,3,61.58
ord_0549e27367c277f48c494b59,1,credit_card,2,660.06
ord_0549e27367c277f48c494b59,2,debit_card,1,660.05
ord_0554cbd2fe8f3a0bd13f7117,1,debit_card,1,2246.54
ord_055508baaa9b9006bf5a9e8f,1,credit_card,1,71.31
ord_0557f4dbf19d46f67c34773f,1,credit_card,1,982.33
ord_056cab6f0a660c408883bf23,1,credit_card,1,2356.16
ord_0570bec0f85a29ffda54352b,1,debit_card,1,1147.35
ord_0570bec0f85a29ffda54352b,2,credit_card,3,1147.35
ord_0570bec0f85a29ffda54352b,3,debit_card,1,1147.34
ord_05799b194e4d1308c210f61b,1,credit_card,3,886.15
ord_05799b194e4d1308c210f61b,2,debit_card,1,886.15
ord_05799b194e4d1308c210f61b,3,credit_card,3,886.15
ord_057bf4a405237bc2a4687ec6,1,credit_card,1,994.54
ord_058420bd31aa479c5583d419,1,credit_card,1,406.0
ord_0586112383f622e6bb500d9d,1,apple_pay,1,156.87
ord_0586112383f622e6bb500d9d,2,debit_card,1,156.87
ord_058ebe42a654e68b168d857a,1,credit_card,1,66.43
ord_059027c83f023290871f0cf3,1,credit_card,1,159.76
ord_0598d88cace8aee13e672b0c,1,debit_card,1,370.33
ord_059abaccd66bcfd1e02894a4,1,debit_card,1,873.57
ord_05a6f8155560018da09eefe4,1,credit_card,1,263.81
ord_05aab97b1ef9373d1bd0928e,1,credit_card,1,381.44
ord_05c44487614da9b82d7993a7,1,apple_pay,1,1298.3
ord_05c44936e08c1131fab173c3,1,credit_card,1,287.21
ord_05c87c09d6fffcb615c35ad7,1,credit_card,1,148.06
ord_05c926421134ec169273d675,1,credit_card,1,413.12
ord_05cfe3900c1c5b2691409a00,1,credit_card,2,510.79
ord_05cfe3900c1c5b2691409a00,2,debit_card,1,510.79
ord_05d27031345546704e8e0672,1,credit_card,1,172.86
ord_05d59164d07058faecc41c80,1,credit_card,1,783.19
ord_05d63d82ad6b445ca3d661d6,1,debit_card,1,77.92
ord_05dd8974936598ca02e06213,1,debit_card,1,470.28
ord_05dd8974936598ca02e06213,2,debit_card,1,470.28
ord_05dd8974936598ca02e06213,3,gift_card,1,470.28
ord_05dd8974936598ca02e06213,4,credit_card,4,470.3
ord_05de9c5b3783ac872d44a7b1,1,credit_card,3,671.72
ord_05de9c5b3783ac872d44a7b1,2,debit_card,1,671.72
ord_05de9c5b3783ac872d44a7b1,3,credit_card,3,671.73
ord_05e2cd05b7a632f7962b0e37,1,gift_card,1,69.91
ord_05e39721a98c414fbbd99c7b,1,credit_card,3,250.57
ord_05e39721a98c414fbbd99c7b,2,credit_card,3,250.57
ord_05e39721a98c414fbbd99c7b,3,debit_card,1,250.56
ord_05fcaa1be0800c4d676c7df1,1,credit_card,1,88.66
ord_06015abb6fea590c123cb56b,1,credit_card,1,709.3
ord_06048ce820d69906b17170ce,1,credit_card,2,756.9
ord_06048ce820d69906b17170ce,2,credit_card,2,756.91
ord_0608187c01c78808338c40d3,1,credit_card,1,1360.88
ord_0611f2244bd292793e82954f,1,credit_card,4,436.98
ord_0611f2244bd292793e82954f,2,credit_card,4,436.98
ord_0611f2244bd292793e82954f,3,credit_card,4,436.98
ord_0611f2244bd292793e82954f,4,credit_card,4,436.97
ord_0619c300d65b3f3a2293e321,1,credit_card,1,206.29
ord_06230805efe142528ae5e2f6,1,debit_card,1,100.14
ord_062e0e544a847729f77fb47b,1,credit_card,1,1246.62
ord_0631511c5944c14f8879362e,1,credit_card,2,306.46
ord_0631511c5944c14f8879362e,2,credit_card,2,306.46
ord_063b3b64cac85d36e354faa1,1,credit_card,1,1383.15
ord_06442f57000064f4020e59f9,1,credit_card,1,284.14
ord_06571359a298f5d474125cda,1,paypal,1,201.27
ord_0659cac5a99cafc4c9cddfe1,1,credit_card,2,220.35
ord_0659cac5a99cafc4c9cddfe1,2,credit_card,2,220.35
ord_0665d18d15934a005efe0ce6,1,debit_card,1,1070.27
ord_066b3700b18d4039b4e16d2f,1,credit_card,3,563.7
ord_066b3700b18d4039b4e16d2f,2,debit_card,1,563.7
ord_066b3700b18d4039b4e16d2f,3,debit_card,1,563.7
ord_066b4e297e95977aca706bce,1,credit_card,1,83.42
ord_066b711f156cefd9dc885f9b,1,credit_card,2,484.03
ord_066b711f156cefd9dc885f9b,2,credit_card,2,484.03
ord_067637309b642e0dfac677fb,1,credit_card,1,1031.08
ord_067ddf85e5b459e8039922e3,1,credit_card,1,175.2
ord_068018d74cd95c52abc7cca4,1,apple_pay,1,32.02
ord_068370fea0c3bdd1ef7fc41b,1,credit_card,1,143.91
ord_068c47bf3459768dc5e65581,1,credit_card,1,2894.26
ord_0690775c68816306f2aac185,1,credit_card,1,38.69
ord_0693348a63c5e3fc29caf917,1,credit_card,3,77.32
ord_0693348a63c5e3fc29caf917,2,credit_card,3,77.32
ord_0693348a63c5e3fc29caf917,3,credit_card,3,77.33
ord_06958a7aaac54032674f98e7,1,credit_card,1,1746.94
ord_0697337445feda3ccf9eb485,1,credit_card,1,34.86
ord_069a0aee8c27f5e5711597ee,1,credit_card,1,448.47
ord_06a6273edf202a5edf2e5960,1,credit_card,2,32.98
ord_06a6273edf202a5edf2e5960,2,credit_card,2,32.98
ord_06a9cea5ca67f6df757202bb,1,credit_card,2,990.02
ord_06a9cea5ca67f6df757202bb,2,credit_card,2,990.01
ord_06acb3045372da646e1deeaa,1,credit_card,2,162.96
ord_06acb3045372da646e1deeaa,2,credit_card,2,162.97
ord_06b364ecc69d2a8ac8c5d386,1,apple_pay,1,1212.94
ord_06bbd61dc4f05e2a888e38c9,1,credit_card,1,306.24
ord_06bc9b3297a21313cf30ff77,1,credit_card,3,345.29
ord_06bc9b3297a21313cf30ff77,2,credit_card,3,345.29
ord_06bc9b3297a21313cf30ff77,3,credit_card,3,345.28
ord_06bc9fc9bd18da4d11ec2fee,1,credit_card,2,493.43
ord_06bc9fc9bd18da4d11ec2fee,2,credit_card,2,493.44
ord_06bec9992dd929145dfad741,1,credit_card,1,987.84
ord_06c12b7dace65f7485621004,1,credit_card,2,272.27
ord_06c12b7dace65f7485621004,2,credit_card,2,272.28
ord_06cb2f3488df7edc2c60b5b3,1,paypal,1,172.16
ord_06cb2f3488df7edc2c60b5b3,2,credit_card,2,172.17
ord_06d75bb56ca14d0f64604ae6,1,credit_card,1,344.41
ord_06e0b4b0b039f25d4fdaeeac,1,credit_card,1,1650.34
ord_06e22b23884f769ea138ad6a,1,credit_card,2,515.33
ord_06e22b23884f769ea138ad6a,2,credit_card,2,515.32
ord_06e8aace7b6a7ffe470ddd54,1,paypal,1,1566.53
ord_06ec4f7ae3cfe32ce1d8f9b1,1,debit_card,1,78.96
ord_06ec4f7ae3cfe32ce1d8f9b1,2,debit_card,1,78.97
ord_06ed95419be58e381a358899,1,debit_card,1,26.75
ord_06f0f7b6c4093e88b53b0a21,1,debit_card,1,1777.21
ord_06f1e47aa9282430aba9cbd4,1,credit_card,1,218.03
ord_06f3958f2bef6b07fe9c4269,1,credit_card,1,721.55
ord_06f721d0f524ef02af8b6f15,1,debit_card,1,1100.04
ord_06f84302dc1e6749dc2b0786,1,credit_card,2,166.46
ord_06f84302dc1e6749dc2b0786,2,credit_card,2,166.46
ord_0706ee6e09f3b9f5ab9d2065,1,credit_card,2,621.18
ord_0706ee6e09f3b9f5ab9d2065,2,credit_card,2,621.18
ord_0707f5b08470264cbc510f00,1,debit_card,1,311.47
ord_0707f5b08470264cbc510f00,2,credit_card,3,311.47
ord_0707f5b08470264cbc510f00,3,debit_card,1,311.47
ord_07091b72628bcc2e41d8dc73,1,debit_card,1,1855.72
ord_070bc6d5c0c63eff543ac1cc,1,credit_card,1,252.27
ord_070c17e27b98e58cfc352447,1,credit_card,1,319.5
ord_071114f4e95ee49306612b3f,1,debit_card,1,3689.03
ord_071b9db9c925f488d8011143,1,apple_pay,1,444.7
ord_07212ef0daec17482f66b97a,1,apple_pay,1,426.87
ord_07212ef0daec17482f66b97a,2,credit_card,2,426.87
ord_0722f66569c9e3788181c32a,1,paypal,1,25.26
ord_0729f8786c7fc2150244bfc3,1,credit_card,1,667.22
ord_0734851de72d31d3a29d4a40,1,credit_card,1,1320.33
ord_073490272defe5a2681b4f2b,1,debit_card,1,387.02
ord_073adef10f3c93e03b6ff362,1,credit_card,1,441.98
ord_074a0059fac577cfd70912f5,1,credit_card,1,1629.21
ord_074ef67fd3dfa526d3c1220b,1,buy_now_pay_later,1,693.85
ord_074f18e53b1f87e75e58ca95,1,credit_card,2,50.29
ord_074f18e53b1f87e75e58ca95,2,credit_card,2,50.29
ord_07652b85f243268e4e556a07,1,credit_card,4,11.86
ord_07652b85f243268e4e556a07,2,credit_card,4,11.86
ord_07652b85f243268e4e556a07,3,credit_card,4,11.86
ord_07652b85f243268e4e556a07,4,paypal,1,11.85
ord_078a310994daf0651b486cbb,1,debit_card,1,533.8
